region_name,utci_thres,yt_90pop90utci,yt_20pop20utci,cdf_percpoint_chg_20_v90,yt_90pop20utci,cdf_percpoint_chg_20utci_v90,cdf_percent_chg_20utci_v90,yt_20pop90utci,cdf_percpoint_chg_20pop_v90,cdf_percent_chg_20pop_v90
National,-40,0.9995056339055872,0.9997535617164114,2.479278108241667e-4,0.999594112153527,8.847824793978276e-5,0.35687100872492505,0.9997124380560352,2.0680415044793676e-4,0.8341305066199478
National,-39,0.9992996028648128,0.9996650832870668,3.6548042225403865e-4,0.999442804205418,1.432013406051924e-4,0.3918167209122239,0.9995925788972904,2.9297603247757653e-4,0.8016189503960197
National,-38,0.9990353037407396,0.9995480708321576,5.127670914180094e-4,0.99924475400875,2.0945026801044708e-4,0.40847057370868317,0.9994381093516528,4.02805610913215e-4,0.7855527736760443
National,-37,0.9986895744172044,0.9993945172185348,7.049428013303771e-4,0.9989840494796164,2.9447506241198074e-4,0.4177290155403298,0.9992341694509684,5.445950337640282e-4,0.7725379034104064
National,-36,0.9982469793887848,0.9991978989793788,9.509195905940127e-4,0.9986517041686468,4.0472477986197575e-4,0.42561409383642584,0.9989760543185084,7.290749297236276e-4,0.7667051314698387
National,-35,0.997708386533826,0.9989581610802,0.0012497745463739829,0.9982501046854658,5.417181516398362e-4,0.4334527000982242,0.9986567228521706,9.48336318344567e-4,0.7588059151116577
National,-34,0.9970632413243996,0.9986615795011698,0.001598338176770242,0.9977629756206904,6.997342962907771e-4,0.43778863976378796,0.9982663362752922,0.001203094950892547,0.7527161450423702
National,-33,0.9963127659607396,0.998295355996945,0.0019825900362053783,0.9971661578904066,8.533919296670467e-4,0.4304429630345641,0.997802026546709,0.001489260585969432,0.7511692073363966
National,-32,0.9954511783316508,0.9978484209410058,0.0023972426093550325,0.9964492108440433,9.980325123924993e-4,0.41632520150349556,0.997261179247743,0.0018100009160922914,0.7550345171694007
National,-31,0.99447565393796,0.9973251911047984,0.002849537166838445,0.9956161968019472,0.0011405428639872373,0.4002554791214276,0.9966395712299458,0.0021639172919858396,0.7593925487859844
National,-30,0.9934033547215324,0.9967124725584202,0.0033091178368878094,0.9946585850884648,0.001255230366932425,0.3793247713756111,0.9959396343161409,0.002536279594608448,0.766451882231487
National,-29,0.9922138214519652,0.9959982511848064,0.00378442973284121,0.9935554619599344,0.001341640507969144,0.35451589874332,0.995142808892472,0.002928987440506736,0.7739574116250695
National,-28,0.990904821384524,0.995182312610298,0.004277491225774033,0.9922987622543418,0.0013939408698178113,0.32587813656252934,0.9942513846489686,0.003346563264444602,0.7823658980946303
National,-27,0.989470634999467,0.9942544617218416,0.004783826722374651,0.9908934395130498,0.0014228045135827871,0.29741974284480754,0.9932475820231196,0.0037769470236526104,0.7895242120679835
National,-26,0.987916217115227,0.9932079463159422,0.0052917292007151895,0.9893596673169444,0.0014434502017173223,0.2727747673713607,0.9921304756674708,0.004214258552243777,0.7963859057024706
National,-25,0.9862324284510792,0.992049267316046,0.005816838864966867,0.9876948172826676,0.001462388831588446,0.25140611000864915,0.9908968254143808,0.004664396963301676,0.8018783176879776
National,-24,0.9843991483321138,0.990776060278555,0.006376911946441188,0.9859108556731974,0.0015117073410835236,0.2370594660519303,0.9895247702426292,0.005125621910515354,0.8037780595944796
National,-23,0.9824068336824414,0.9893560095644188,0.00694917588197741,0.9839799505602198,0.001573116877778391,0.2263745952751387,0.98800254107736,0.005595707394918548,0.8052332377182936
National,-22,0.9802576401674038,0.9877779350927226,0.0075202949253188045,0.9819012950306248,0.0016436548632210446,0.21856255366891292,0.9863122758767002,0.00605463570929643,0.8051061520090262
National,-21,0.9778984830921564,0.9860329005064632,0.00813441741430676,0.979658927156535,0.0017604440643785857,0.21641919448125788,0.9844169276956914,0.006518444603535012,0.8013412972968923
National,-20,0.9753094904433992,0.9840953847879014,0.008785894344502165,0.9772351823085054,0.0019256918651061605,0.21917994794817622,0.9822974911650928,0.006988000721693588,0.7953658953418189
National,-19,0.9724708632308308,0.981929835439584,0.009458972208753247,0.9745625589413844,0.002091695710553676,0.2211335084183924,0.9799201204720648,0.00744925724123402,0.7875334737045262
National,-18,0.9693030961895978,0.979471493914104,0.010168397724506284,0.9716068298743548,0.0023037336847570034,0.22655818027307334,0.97722522603106865,0.007922129841470893,0.7790932314122817
National,-17,0.9657039837421344,0.97662747385189,0.010923490109755574,0.968270005581083,0.0025660218389486067,0.23490860642213046,0.9740979199876352,0.008393936245500777,0.7684298846944808
National,-16,0.9616048386390368,0.9733566117325384,0.011751773093501616,0.9645007217536916,0.002895883114654829,0.2464209521077434,0.9704668728621884,0.008862034223151571,0.7541018834044724
National,-15,0.9569623487232284,0.9695815919900578,0.012619243266829394,0.9602170484817554,0.003254699758526991,0.25791560474012004,0.9662810182818512,0.009318669558622816,0.7384491574956497
National,-14,0.9517127445957952,0.9651985215638752,0.013485776968079954,0.9552918830357184,0.0035791384399231907,0.26540098122598366,0.9614885005329064,0.009775755937111108,0.7248937870060992
National,-13,0.9458152484393596,0.9601494341231264,0.014334185683766765,0.949721853421207,0.003906604981847361,0.2725376291358866,0.9560455259991408,0.010230277559781231,0.7136978538911252
National,-12,0.9393195247656831,0.954501246621236,0.015181721855552888,0.9435759823387752,0.0042564575730920096,0.2803672477726999,0.949982484432478,0.010662959666794869,0.7023550930683643
National,-11,0.9322865787765048,0.9482921512031252,0.016005572426620374,0.936838039624587,0.004551460848082223,0.2843672645229645,0.9433647572907238,0.011078178514218995,0.6921450991527072
