utci_thres,yt_90pop90utci,yt_20pop20utci,cdf_percpoint_chg_20_v90,yt_90pop20utci,cdf_percpoint_chg_20utci_v90,cdf_percent_chg_20utci_v90,yt_20pop90utci,cdf_percpoint_chg_20pop_v90,cdf_percent_chg_20pop_v90
-40,0.9990746404165386,0.999856892771824,7.822523552853955e-4,0.999779463369717,7.048229531784189e-4,0.9010173614897875,0.9995032800992564,4.2863968271777964e-4,0.5479557585498039
-39,0.9987640256098604,0.9997979957928438,0.0010339701829833459,0.9996877432825988,9.237176727383556e-4,0.8933697392250951,0.9993368202129348,5.727946030743558e-4,0.5539759390562443
-38,0.9983947977623726,0.9997154110202984,0.0013206132579257623,0.9995620181892464,0.001167220426873783,0.8838472731275561,0.999133370802204,7.385730398313806e-4,0.5592652015257136
-37,0.99794741194856,0.9996027843745212,0.0016553724259612546,0.9993794875995948,0.0014320756510348698,0.8651078322772477,0.9988845161080752,9.371041595152008e-4,0.5660986886204993
-36,0.9974204236941726,0.999444043849802,0.002023620155629402,0.9991302950577766,0.0017098713636040097,0.844956677688453,0.998585292517768,0.0011648688235953442,0.575636104609285
-35,0.9967988126900384,0.9992512950150648,0.0024524823250263728,0.9988157964983574,0.0020169838083189395,0.822425420863023,0.9982337232691888,0.0014349105791503503,0.5850849828795076
-34,0.9960922008899858,0.999004036976317,0.0029118360863311654,0.9984254232192488,0.0023332223292629184,0.8012890355386437,0.9978197664118006,0.0017275655218147445,0.5932907864987106
-33,0.9953116445657892,0.9986974259210296,0.0033857813552403693,0.9979324286575416,0.0026207840917523706,0.774055917017805,0.9973381370598412,0.002026492494051957,0.5985302302274886
-32,0.9944172718835512,0.9983123213867348,0.003895049503183534,0.9973269789720766,0.0029097070885253373,0.747026985445795,0.9967792538759596,0.002361981992408335,0.6064061549096669
-31,0.9934401426406924,0.9978437061304296,0.00440356348973725,0.9965910357001628,0.003150893059470472,0.7155325605759526,0.9961394139068008,0.0026992712661084717,0.6129743041968791
-30,0.9923687771916014,0.997295497612618,0.004926720421016606,0.9957223383769138,0.0033535611853123815,0.6806883481771409,0.9954169041026903,0.003048126911088911,0.6186928931639973
-29,0.9911738617616312,0.9966449550400108,0.00547109327837958,0.994702777566964,0.0035289158053327663,0.6450110838501286,0.994586566360768,0.0034127045991367844,0.6237701361486482
-28,0.989869542510281,0.9958788442431212,0.0060093017328402,0.9935148461339935,0.0036453036237125147,0.6066101829753888,0.9936557980043796,0.0037862554940986115,0.6300657983950323
-27,0.988408790260903,0.9949919097995376,0.006583119538634552,0.9921516706266804,0.0037428803657774123,0.5685572537170953,0.9925679672500785,0.00415917698917545,0.6317942374836676
-26,0.986856590551154,0.9939682544470382,0.007111663895884135,0.9906266380916686,0.003770047540514576,0.5301217261823193,0.9913679393616596,0.004511348810505522,0.6343591143440368
-25,0.9851734289890676,0.9928205661409396,0.007647137151872041,0.9889362217323434,0.0037627927432758446,0.4920524725196935,0.9900455125911048,0.00487208360203728,0.6371120989826343
-24,0.983349083212104,0.9915620851253064,0.0082130019132024,0.9871093905469848,0.0037603073348807525,0.4578481016589146,0.988587651214901,0.005238568002796984,0.6378384003997352
-23,0.9813614384209336,0.9901629762750476,0.008801537854113972,0.9851441870449126,0.003782748623978982,0.4297826910113064,0.9869613565838756,0.00559991816294203,0.6362431492951591
-22,0.9792130965345928,0.9886212060231662,0.009408109488573402,0.9830280566360464,0.003814960101453657,0.40549699236463055,0.985168867571003,0.005955771036410207,0.6330465268972236
-21,0.9768510640767764,0.9869191834191076,0.010068119342331205,0.9807743047380226,0.0039232406612462745,0.38966966201434344,0.9831632443301852,0.00631218025340885,0.6269473015550595
-20,0.9742407195853088,0.9850182194526274,0.010777499867318574,0.9783338056114126,0.004093086026103809,0.37978066123810245,0.980937635221454,0.006696915636145273,0.6213793290272112
-19,0.9714093169039726,0.9829018288969776,0.01149251199300505,0.9756742412329268,0.0042649243289542005,0.371104622866616,0.978476198761627,0.007066881857654361,0.6149118540799121
-18,0.9682988538341596,0.980524235728548,0.012225381894388376,0.9727661353040812,0.004467281469921591,0.3654103821470098,0.9757461388569127,0.007447285022753158,0.6091658393241334
-17,0.9648101590197196,0.9777998235341714,0.012989664514451826,0.9695240321485864,0.004713873128866841,0.36289413969255,0.9726676709002726,0.007857511880553059,0.6049049128105717
-16,0.96086572798447,0.9746509893672826,0.013785261382812553,0.9658636969240312,0.00499796893956117,0.3625588808778506,0.9691247952931814,0.008259067308711399,0.5991230111174238
-15,0.9563927015242348,0.9710347647285176,0.01464206320428274,0.961730397135746,0.005337695611511206,0.3645453196753005,0.9650646230974416,0.008671921573206731,0.5922609028671746
-14,0.9513425169494962,0.9668679896056344,0.015525472656138128,0.9570100934057044,0.00566757645620819,0.3650501715300413,0.960447059485066,0.009104542535569804,0.5864261099948056
-13,0.9457630084196192,0.9620672971782562,0.016304288758636987,0.9516580785446102,0.005895070124990909,0.3615656108806385,0.9552980490028464,0.009535040583227183,0.5848179411184753
-12,0.93967045983647,0.95665431898946,0.016983859152989944,0.9457117701588064,0.006041310322336346,0.35570892739491405,0.9496086820062828,0.009938222169812772,0.5851568880953175
-11,0.9331369394489296,0.9507189526442832,0.017582013195353574,0.9392127301623212,0.006075790713391593,0.34556854473282117,0.9435228072735876,0.010385867824658002,0.5907098185663228
-10,0.9262527089744728,0.944364159608332,0.018111450633859216,0.9322757107027728,0.006023001728300059,0.33255214339596323,0.9370800655786774,0.010827356604204641,0.5978182986603504
-9,0.9188357741056072,0.937444091184263,0.018608317078655734,0.9248141118418178,0.005978337736210593,0.32127234886103245,0.9301682339787232,0.01133245987311593,0.608999719061891
-8,0.9108449653404967,0.9299311653496942,0.019086200009197474,0.9167235286373684,0.005878563296871642,0.30800071748377433,0.9226906366732204,0.011845671332723628,0.6206406370579425
