region_name,utci_thres,yt_90pop90utci,yt_20pop20utci,cdf_percpoint_chg_20_v90,yt_90pop20utci,cdf_percpoint_chg_20utci_v90,cdf_percent_chg_20utci_v90,yt_20pop90utci,cdf_percpoint_chg_20pop_v90,cdf_percent_chg_20pop_v90
Central,-40,0.9999859198993478,0.9999635495316106,-2.237036773722334e-5,0.9999574785440912,-2.8441355256592082e-5,1.2713852356243065,0.9999870616819596,1.1417826117909868e-6,-0.05103995719708752
Eastern,-40,0.9998914427415398,0.9999404771603492,4.903441880932391e-5,0.9999024648595404,1.1022118000525438e-5,0.22478329035337885,0.9999367356573386,4.529291579880024e-5,0.9236963932401657
Northeastern,-40,0.9915665187051248,0.9991695909567312,0.007603072251606391,0.9992021030690454,0.0076355843639206444,1.0042761808961351,0.9919633430000756,3.9682429495080385e-4,0.05219262448373578
Western,-40,0.99927549821987,0.9997445116056262,4.6901338575611184e-4,0.9996177422305288,3.422440106587432e-4,0.7297105392994284,0.9995604535656428,2.849553457727749e-4,0.6075633541106489
Central,-39,0.9999768679625848,0.999948206827099,-2.8661135485830158e-5,0.99994243814108,-3.442982150481111e-5,1.2012720682972573,0.9999796866343637,2.8186717788702964e-6,-0.0983447351645864
Eastern,-39,0.9998631521672816,0.9999235714678208,6.0419300539238385e-5,0.9998782320714444,1.5079904162829116e-5,0.24958753292808653,0.9999198108165612,5.665864927961728e-5,0.9377574512439314
Northeastern,-39,0.9886039073729916,0.9986733796903496,0.010069472317357997,0.9986832046149882,0.010079297241996521,1.0009757139529136,0.9892874246587884,6.83517285796742e-4,0.06788014945117617
Western,-39,0.9990634171592768,0.999652149079174,5.887319198971674e-4,0.9994886684868166,4.2525132753978845e-4,0.7223174303409032,0.9994080953207788,3.446781615019656e-4,0.5854585930420926
Central,-38,0.9999658500625744,0.9999266592718364,-3.919079073799736e-5,0.9999209029996424,-4.494706293201034e-5,1.146878184533082,0.999967030243966,1.1801813916134662e-6,-0.03011374277960724
Eastern,-38,0.99982853601496,0.9998928519682274,6.431595326739092e-5,0.9998365091750776,7.973160117580314e-6,0.1239686222861726,0.999898019558191,6.948354323099704e-5,1.0803469388399185
Northeastern,-38,0.985131876104471,0.998009718747426,0.012877842642954995,0.9979574417474084,0.012825565642937464,0.9959405467618344,0.9860904898115478,9.586137070768386e-4,0.07443899833651575
Western,-38,0.9987991865056868,0.9995270935181412,7.279070124543985e-4,0.999326136111533,5.269496058462053e-4,0.7239243431237274,0.9992162418287666,4.1705532307978466e-4,0.5729513742057982
Central,-37,0.999946865399782,0.9999039172911832,-4.294810859872822e-5,0.9998960786119176,-5.078678786429869e-5,1.1825151216508423,0.9999541974879984,7.332088216460697e-6,-0.17071970002138384
Eastern,-37,0.9997808664827584,0.9998561007110344,7.523422827593329e-5,0.9997869235014912,6.057018732796848e-6,0.08050881721789961,0.9998679635800534,8.709709729493031e-5,1.1576791480533049
Northeastern,-37,0.9810710833776832,0.996946418852476,0.015875335474792807,0.9967378763117202,0.015666792934036944,0.9868637395986377,0.9823631841992712,0.001292100821587927,0.08139045777265949
Western,-37,0.9984514012940798,0.999366250699573,9.148494054931344e-4,0.9991164342320216,6.650329379417341e-4,0.7269315954610684,0.9989570118075995,5.056105135197164e-4,0.552670757048998
Central,-36,0.9999245030090582,0.9998775813614,-4.692164765818241e-5,0.9998679957005112,-5.65073085470047e-5,1.2042907989645308,0.9999350542485465,1.0551239488232333e-5,-0.22486933035891293
Eastern,-36,0.9997225473891356,0.9997985181152312,7.597072609566435e-5,0.999722467735095,-7.965404058563053e-8,-0.0010484833392974031,0.9998301224322008,1.0757504306524446e-4,1.4160065145327572
Northeastern,-36,0.976346112376363,0.9953308214030044,0.0189847090266414,0.9949719497392904,0.018625837362927333,0.9810968046331151,0.9779386609007452,0.0015925485243821758,0.08388585372297985
Western,-36,0.998028291588286,0.9991583048193164,0.0011300132310304578,0.998848074718983,8.197831306969716e-4,0.725463302716741,0.99864287451841,6.145829301240635e-4,0.5438723310908723
Central,-35,0.9998866157595324,0.9998492839969852,-3.733176254716586e-5,0.999835317529556,-5.129822997640421e-5,1.3741175469974871,0.9999065290182482,1.9913258715753557e-5,-0.5334133016247132
Eastern,-35,0.9996521261697826,0.9997417580176506,8.963184786803247e-5,0.9996514098575712,-7.163122114350884e-7,-0.007991715316298458,0.9997847921756464,1.3266600586381294e-4,1.4801212852282248
Northeastern,-35,0.9708067933097142,0.993245576089406,0.0224387827796918,0.9926703753366556,0.021863582026941386,0.974365777395421,0.9729282140388256,0.0021214207291113674,0.09454259395172528
Western,-35,0.9975334852678782,0.998903053815706,0.0013695685478277708,0.998514869919677,9.813846517987557e-4,0.7165648286500874,0.9982536692689624,7.201840010842009e-4,0.5258473569844034
Central,-34,0.9998440981071302,0.9998137190982428,-3.0379008887360115e-5,0.999789662967914,-5.4435139216102435e-5,1.7918668583935082,0.9998740774547128,2.9979347582642646e-5,-0.9868441624873497
Eastern,-34,0.9995517457647848,0.9996600662473516,1.0832048256681492e-4,0.9995634575818292,1.171181704440194e-5,0.10812190609636348,0.9997183456150324,1.6659985024758406e-4,1.5380272160883413
Northeastern,-34,0.9646501490743484,0.9905477283711892,0.025897579296840778,0.989738100336355,0.02508795126200658,0.9687373083965047,0.9673063762156626,0.0026562271413141936,0.1025666187124379
Western,-34,0.9969551001679609,0.9985896564805504,0.0016345563125895746,0.9981266948746608,0.0011715947066999188,0.7167661937836814,0.9977711521046592,8.160519366983143e-4,0.4992498150188963
