loc_level,region_prov_name,year_1990_utci_32,year_1990_utci_35,year_1990_utci_38,year_2020_utci_32,year_2020_utci_35,year_2020_utci_38,cdf_percpoint_chg_utci_32,cdf_percpoint_chg_utci_35,cdf_percpoint_chg_utci_38,cdf_percent_chg_utci_32,cdf_percent_chg_utci_35,cdf_percent_chg_utci_38
region,Central,0.08078268834611808,0.03975471450688574,0.01378298576702024,0.10448438639519056,0.05772980785736107,0.02118190020346744,0.023701698049072475,0.017975093350475334,0.007398914436447201,0.29340070916582006,0.4521499795291436,0.5368150676141038
region,Eastern,0.0821524085446982,0.03589519767124975,0.00858342542262172,0.10720214859199367,0.05276667195908083,0.01527256506026889,0.025049740047295474,0.016871474287831083,0.006689139637647171,0.3049179018733966,0.47002037549285564,0.7793088782501523
region,Northeastern,0.01417471619787777,0.00247986370946598,2.0854282546724464e-4,0.02216609162259448,0.00531769998734405,4.35983261502008e-4,0.007991375424716708,0.0028378362778780698,2.2744043603476337e-4,0.5637767496123254,1.1443517105579872,1.090617409278781
region,Western,0.04929915962365093,0.02037686162564243,0.00526086504505979,0.05870129182263054,0.02651170908187715,0.0072615376342628,0.009402132198979611,0.006134847456234719,0.0020006725892030095,0.19071587164477755,0.3010692995291567,0.38029346354013377
province,Anhui,0.0815605172237842,0.04204935847952285,0.01543838139471011,0.10087261936077883,0.05306422581617227,0.01779543446839734,0.019312102136994636,0.011014867336649421,0.0023570530736872312,0.23678248734012386,0.26195090091596596,0.1526748830350094
province,Beijing,0.03046608244166031,0.00747713667363533,8.74099203215464e-4,0.06350639853405872,0.02645005405275856,0.0062826688015582,0.03304031609239841,0.018972917379123228,0.005408569598342736,1.0844950661335442,2.5374576134233924,6.1875924133631
province,Fujian,0.08857071028320525,0.03511795474930147,0.00623940458861856,0.1203527928520804,0.05408774051455524,0.01082171404073127,0.03178208256887516,0.018969785765253773,0.004582309452112711,0.35883287451632495,0.540173421279071,0.7344145402065136
province,Gansu,0.00810647500640873,0.00144841569003614,1.837819928923237e-4,0.01104765638549205,0.00229089813877975,3.0764320019382015e-4,0.0029411813790833196,8.424824487436098e-4,1.2386120730149646e-4,0.36281878088295,0.5816579139118472,0.6739572542020789
province,Guangdong,0.1309889429291995,0.05877580469095447,0.01309056067951605,0.16248197560547858,0.08226350503167802,0.02290753375440615,0.03149303267627909,0.023487700340723554,0.009816973074890099,0.24042512270139713,0.3996151216341966,0.7499276245861324
province,Guangxi,0.12018490577911611,0.05120160811375126,0.01196120581087882,0.14580937198281133,0.07495566507981052,0.02007700910949506,0.025624466203695212,0.023754056966059263,0.008115803298616239,0.2132086890411145,0.46393185372784446,0.6785104634881247
province,Guizhou,0.02208455702945996,0.00431889563534603,3.015098481439051e-4,0.02661531865810509,0.00522652912223241,3.5298376674546987e-4,0.00453076162864513,9.076334868863799e-4,5.147391860156478e-5,0.2051551961219447,0.21015406796549282,0.17072052179535188
province,Hainan,0.16067929713633008,0.06299973418920723,0.01025766223382722,0.19633744272425196,0.09553535224392096,0.02864070494288737,0.03565814558792188,0.03253561805471372,0.018383042709060146,0.2219212196184014,0.5164405607966445,1.7921279030262316
province,Hebei,0.06597477743141217,0.02912772211556438,0.00715376250452776,0.08300923224110719,0.04392884080598838,0.01508911966039341,0.017034454809695024,0.014801118690423998,0.00793535715586565,0.25819647254443806,0.5081454235144268,1.1092564438424122
province,Heilongjiang,0.01001298851316245,0.00188491163493737,2.501624732450607e-4,0.01766021962212285,0.00389119827062853,1.9056114100818672e-4,0.007647231108960401,0.00200628663569116,-5.9601332236874e-5,0.7637311377025777,1.0643929394376213,-0.2382504916254492
province,Henan,0.0756435253294978,0.03521417177972266,0.00995244246993241,0.10000553772371232,0.05509234138146595,0.01989351691560417,0.024362012394214524,0.019878169601743295,0.00994107444567176,0.32206341901828794,0.564493458090919,0.9988577653882457
province,Hubei,0.08320417328397149,0.0415496016912001,0.01522391059711545,0.1061340343081376,0.05860858033103467,0.02053631974465124,0.02292986102416611,0.01705897863983457,0.0053124091475357915,0.27558546788161326,0.4105690053690102,0.3489516779310541
province,Hunan,0.09314385442675044,0.04428871232349392,0.01501295735031537,0.12119508995504907,0.06849184716126248,0.02567174805287096,0.028051235528298635,0.024203134837768564,0.010658790702555588,0.30116034708826117,0.5464854037973346,0.70997275578963015
province,Jiangsu,0.06859499626773148,0.03235628633936238,0.01020966745090353,0.08264814816974438,0.03814717074121047,0.01153024822868875,0.014053151902012895,0.005790884401848086,0.00132058077778522,0.204871385183292,0.17897246739355568,0.12934611084402675
province,Jiangxi,0.1078510287743394,0.05934454569172143,0.02417792093130616,0.13649825361579837,0.08125971096151596,0.03353918103742281,0.02864722484145897,0.021915165269794534,0.00936126010611665,0.2656184662030308,0.3692869330171939,0.3871821788446443
province,Jilin,0.01122139006793291,0.0015240068144972,1.3522426092384116e-4,0.02121662772220907,0.00426566065996244,1.5255752986471932e-4,0.009995237654276158,0.0027416538454652396,1.7333268940878158e-5,0.8907307912625997,1.7989774188573857,0.12818165041138826
province,Liaoning,0.02050639529664692,0.00376073831281501,2.1763462936651325e-4,0.02577162279015547,0.00686412238514065,7.572355126520363e-4,0.005265227493508551,0.0031033840723256397,5.39600883285523e-4,0.2567602651436983,0.8252060670508808,2.4793888953067027
province,Neimenggu,0.01300463508739464,0.00303965613143116,3.910523532822507e-4,0.0194471779471026,0.0054264729413108,9.679419171713912e-4,0.00644254285970796,0.00238681680987964,5.768895638891405e-4,0.4954035862146336,0.7852259290776604,1.4752233532085604
