loc_level,region_prov_name,utci_thres,year_1990,year_2020,cdf_percpoint_chg,cdf_percent_chg
region,Central,-40,0.9999822359443042,0.9999569493612068,-2.5286583097416937e-5,-2.5287032297667054e-5
region,Eastern,-40,0.9999316131935208,0.9998868313333192,-4.478186020151487e-5,-4.4784922899370373e-05
region,Northeastern,-40,0.9959998652284132,0.9980477265162592,0.0020478612878459534,0.002056085908582243
region,Western,-40,0.9994975331709872,0.9996298730941996,1.3233992321237675e-4,1.3240645306298815e-4
region,Central,-39,0.9999713768423328,0.9999452348190184,-2.6142023314412732e-5,-2.6142771603086185e-5
region,Eastern,-39,0.9999113443173522,0.9998595535687206,-5.179074863159716e-5,-5.179534058287451e-5
region,Northeastern,-39,0.994203179403228,0.997109778099318,0.0029065986960900014,0.0029235459675704236
region,Western,-39,0.999317674620815,0.999510270419952,1.9259579913699643e-4,1.9272730186632167e-4
region,Central,-38,0.9999594326156762,0.9999286770186752,-3.0755597001053125e-5,-3.07568447257937e-5
region,Eastern,-38,0.999884884176102,0.9998243476494116,-6.053652669035792e-5,-6.05434962048052e-5
region,Northeastern,-38,0.9918846623225536,0.9958550800880862,0.003970417765532641,0.004002902672409194
region,Western,-38,0.9990891716560416,0.9993540645832768,2.648929272351941e-4,2.651344191791414e-4
region,Central,-37,0.9999427970815536,0.9999081250408436,-3.4672040710059804e-5,-3.467402416543635e-5
region,Eastern,-37,0.9998517570810592,0.9997850949314688,-6.666214959039074e-5,-6.667203324721103e-5
region,Northeastern,-37,0.9888245158275044,0.9941050997216224,0.005280583894118007,0.005340263929135005
region,Western,-37,0.9987970575818672,0.9991538764023528,3.5681882048554936e-4,3.572485699441525e-4
region,Central,-36,0.999918331627784,0.9998848555303892,-3.347609739479118e-5,-3.347883155646809e-5
region,Eastern,-36,0.9998091003343073,0.9997352128648248,-7.388746948244762e-5,-7.390157726884241e-5
region,Northeastern,-36,0.9849033433617655,0.991800127919958,0.006896784558192426,0.007002498879384109
region,Western,-36,0.9984275909168492,0.9989033453490668,4.7575443221758995e-4,4.7650369094939365e-4
region,Central,-35,0.9998777957222048,0.9998557852979196,-2.2010424285179297e-05,-2.2013114381924363e-5
region,Eastern,-35,0.9997569427134706,0.9996759286479858,-8.101406548477463e-5,-8.1033761330921e-5
region,Northeastern,-35,0.980219656124541,0.989016110846319,0.008796454721778035,0.008973962791723909
region,Western,-35,0.9979652859971344,0.9985927558035522,6.27469806417813e-4,6.287491310791092e-4
region,Central,-34,0.9998322260440302,0.9998205879835556,-1.1638060474661316e-5,-1.164001336575123e-5
region,Eastern,-34,0.9996787203208352,0.9995995701888656,-7.915013196957421e-5,-7.917556947113159e-5
region,Northeastern,-34,0.974694370793476,0.9855929548775184,0.010898584084042429,0.011181539988960995
region,Western,-34,0.9974029926909485,0.9982086509584012,8.056582674527135e-4,8.077560157294934e-4
region,Central,-33,0.9997681672813412,0.9997756207002724,7.45341893115814e-6,7.4551472782196515e-6
region,Eastern,-33,0.9995859353856836,0.9995111789371722,-7.475644851140384e-5,-7.47874153336897e-5
region,Northeastern,-33,0.968325886297188,0.9813550595948746,0.013029173297686603,0.013455359896975667
region,Western,-33,0.9967461226060496,0.9977297812593824,9.836586533328306e-4,9.868698066875835e-4
region,Central,-32,0.9996864036495312,0.9997171906276756,3.0786978144403676e-5,3.0796635857015154e-5
region,Eastern,-32,0.9994660376414536,0.999394549760524,-7.148788092958824e-5,-7.152607316031048e-5
region,Northeastern,-32,0.96121686157317,0.9762406951370108,0.01502383356384085,0.015630014583027787
region,Western,-32,0.9959602969717908,0.9971518352602464,0.0011915382884556402,0.0011963712731104872
region,Central,-31,0.9995794354390172,0.9996500454956332,7.061005661601616e-5,7.063976519785453e-5
region,Eastern,-31,0.9992975908678072,0.9992579087492148,-3.968211859239901e-5,-3.9710011266952395e-5
region,Northeastern,-31,0.9534345991674442,0.9702690462524608,0.01683444708501658,0.017656635389272337
region,Western,-31,0.9950492072240924,0.9964718676723192,0.001422660448226809,0.0014297387886933067
region,Central,-30,0.999439264605862,0.999566398458778,1.271338529160726e-4,1.2720518136358092e-4
region,Eastern,-30,0.9990954935805444,0.9990953603794764,-1.3320106795333686e-7,-1.333216582490756e-7
region,Northeastern,-30,0.945185700049908,0.9634439933491696,0.018258293299261652,0.019317149316052468
region,Western,-30,0.9940066159005948,0.9956595608300072,0.00165294492941237,0.0016629113961326711
region,Central,-29,0.9992496773717232,0.9994518029011068,2.0212552938358996e-4,2.0227730262093325e-4
region,Eastern,-29,0.9988328577054808,0.9989059171723134,7.305946683255904e-5,7.314483726575762e-5
region,Northeastern,-29,0.936405304154202,0.9556248011460384,0.01921949699183645,0.020524763055668777
region,Western,-29,0.9928270182933692,0.9947095803105686,0.001882562017199385,0.0018961631608650574
region,Central,-28,0.999000451374098,0.999314799218761,3.143478446629988e-4,3.146623649975552e-4
region,Eastern,-28,0.9985142626804708,0.9986842194448962,1.6995676442532748e-4,1.7020965125634307e-4
region,Northeastern,-28,0.927149193536822,0.9469424620057674,0.019793268468945358,0.021348525789511203
region,Western,-28,0.9914929035790492,0.9936009488396916,0.002108045260642455,0.002126132474607657
region,Central,-27,0.998686663051645,0.9991490098126392,4.6234676099421446e-4,4.6295477660775083e-4
region,Eastern,-27,0.998124351773993,0.9984200461638258,2.956943898329012e-4,2.9625005071497927e-4
region,Northeastern,-27,0.9174752208949816,0.9373185768169672,0.019843355921985606,0.021628219999913184
region,Western,-27,0.989991239990949,0.9923296218335445,0.002338381842595494,0.002362022761551782
