loc_level,region_prov_name,year_1990_utci_23,year_1990_utci_26,year_1990_utci_29,year_2020_utci_23,year_2020_utci_26,year_2020_utci_29,cdf_percpoint_chg_utci_23,cdf_percpoint_chg_utci_26,cdf_percpoint_chg_utci_29,cdf_percent_chg_utci_23,cdf_percent_chg_utci_26,cdf_percent_chg_utci_29
region,Central,0.30204441642489305,0.21519809956523975,0.1376476682364343,0.3346214214165777,0.2456480579973134,0.16448244410322344,0.032577004991684644,0.030449958432073654,0.026834775866789146,0.10785501476000735,0.14149733893371305,0.19495263676167515
region,Eastern,0.32928778129882436,0.230665679069544,0.14076924560321633,0.3793153027955149,0.28596961833022966,0.18107995357957676,0.05002752149669054,0.055303939260685664,0.04031070797636044,0.15192644348771392,0.23975798863432968,0.28636019042102057
region,Northeastern,0.11903260093816548,0.07562197539746207,0.04019867780213219,0.14090787595323062,0.09192546783958667,0.05195464711708595,0.021875275015065143,0.016303492442124604,0.011755969314953763,0.183775493794585,0.2155919936821931,0.2924466663510562
region,Western,0.23740010928620364,0.15623646788837608,0.09184221989504118,0.2616440559253368,0.1807505272337592,0.10703146394996955,0.02424394663913315,0.024514059345383116,0.015189244054928372,0.10212272737374882,0.15690356852471413,0.16538411280004875
province,Anhui,0.3021353946684285,0.22000857321982312,0.1393484145445211,0.3297619741654244,0.2384379951682699,0.16056627417843333,0.02762657949699593,0.018429421948446795,0.021217859633912234,0.0914377460718036,0.08376683544069398,0.15226480834579742
province,Beijing,0.18572545050092584,0.12194551196108196,0.070500417704847,0.23352779884854025,0.16445409843399117,0.11012331556184392,0.047802348347614404,0.04250858647290921,0.03962289785699692,0.2573817870339537,0.3485867236055028,0.5620235900286417
province,Fujian,0.39821228023504623,0.2596306716736996,0.15335447765140667,0.46405213152116725,0.33088648839047596,0.19811910812458192,0.06583985128612102,0.07125581671677639,0.04476463047317525,0.16533857581503716,0.2744506889630119,0.2919029894577365
province,Gansu,0.1072279124410704,0.0630322465200514,0.02780519722641859,0.11326219779096144,0.06932204602504174,0.03373359812636367,0.006034285349891047,0.00628979950499034,0.005928400899945084,0.05627532246519608,0.09978701144642639,0.21321197082940754
province,Guangdong,0.5186811623379209,0.3782296500892072,0.22003681041432657,0.5722279476250228,0.46325709205998983,0.2853379491411686,0.053546785287101883,0.0850274419707826,0.06530113872684204,0.10323641800628212,0.22480374542484569,0.2967737016541951
province,Guangxi,0.4689013845831501,0.32600419533116587,0.19844775824283953,0.5105726341733884,0.3887812164708525,0.2345220755797893,0.04167124959023827,0.06277702113968664,0.03607431733694977,0.08886996490164707,0.1925650713663843,0.18178243814075143
province,Guizhou,0.1826928265366165,0.11227204767508368,0.0608172339738515,0.204929463471601,0.12657475394791176,0.06982541164798302,0.022236636934984483,0.014302706272828078,0.00900817767413152,0.12171598281406888,0.1273932966308786,0.14811883220477615
province,Hainan,0.6252028347109383,0.4620171093611029,0.2736194712884219,0.6609965424270493,0.528029922878267,0.33024741928981816,0.03579370771611101,0.06601281351716409,0.056627948001396256,0.05725135224740333,0.14287958644745744,0.2069587655247854
province,Hebei,0.23858529082329763,0.1678558228951697,0.10941904564314955,0.2557178335777174,0.18514671623651485,0.12857034144652246,0.01713254275441975,0.017290893341345148,0.01915129580337291,0.0718088809888475,0.10301038738551094,0.1750270776975281
province,Heilongjiang,0.10079548103739935,0.06300276742599535,0.03101836920006463,0.11831589709695656,0.07658359828284361,0.04267910911709868,0.017520416059557203,0.013580830856848261,0.01166073991703405,0.17382144396985807,0.2155592748017085,0.37593014132444313
province,Henan,0.2745220683705858,0.1955981718511732,0.12711532333271858,0.30089143114068034,0.21657643083952047,0.14975201421430137,0.02636936277009455,0.020978258988347265,0.022636690881582794,0.09605552998565396,0.10725181523838172,0.17807995360506054
province,Hubei,0.31029440507756456,0.22424023776773452,0.1440166337815725,0.3460769148286433,0.2560636997850066,0.1711126380147957,0.03578250975107872,0.03182346201727207,0.027096004233223198,0.11531793408306583,0.14191682248497456,0.18814496299308892
province,Hunan,0.3486949007104461,0.24337809721813808,0.15625557501903384,0.3875340617332965,0.288062731763271,0.1895651090619356,0.0388391610228504,0.04468463454513294,0.03330953404290177,0.11138436766272695,0.1836017088468007,0.21317341182126948
province,Jiangsu,0.2777955408476143,0.1948115075093012,0.12099710322244817,0.30502310953998013,0.21679290376909827,0.14178130067959183,0.02722756869236581,0.02198139625979706,0.02078419745714366,0.09801297965146814,0.11283417771790286,0.17177433924953373
province,Jiangxi,0.3802678052036731,0.2734549197098282,0.17643432050731195,0.4292821216228619,0.3270769738161208,0.21653863930483327,0.0490143164191888,0.05362205410629256,0.04010431879752133,0.12889420494836926,0.19609101991360273,0.22730452149109667
