year,share_time,stats,utci_20,utci_21,utci_22,utci_23,utci_24,utci_25,utci_26,utci_27,utci_28,utci_29,utci_30,utci_31,utci_32,utci_33,utci_34,utci_35,utci_36,utci_37,utci_38,utci_39,utci_40
1990,0.04,cdf_comp,0.9974799732671247,0.9958336449188984,0.9938401682378663,0.992226875467622,0.9876854643386591,0.9820409109147205,0.9714246116321158,0.9510851813560258,0.9158103439097598,0.8509854183834223,0.807509102531782,0.751237663232417,0.7096455542549847,0.6505257516387932,0.5658820640217617,0.350141337001471,0.1503569347234167,0.026623455363882775,5.054667076358488e-4,0,0
1990,0.08,cdf_comp,0.9936895847889835,0.9911508964689715,0.9835708447618382,0.9719794815450066,0.9565857616416082,0.9162055599670086,0.8610635252886358,0.8177604673053114,0.7677550752216595,0.728902717909845,0.677351254386775,0.6022079408417529,0.42536545672041204,0.2101779286645319,0.07556939262773565,0.014906723087088847,8.651168022060229e-4,0,0,0,0
1990,0.12,cdf_comp,0.9808537739055139,0.9630311914067777,0.9342069179784682,0.8818570382103998,0.8413924807944599,0.79255022540456,0.756407120954938,0.7204778531817507,0.6633562205990147,0.5609727279290823,0.2939477357858946,0.18256759131971456,0.0806054684054216,0.03927955142515838,0.006345805452535602,3.8781340403937214e-4,0,0,0,0,0
1990,0.16,cdf_comp,0.917375990686344,0.8765331120039066,0.8378396737137943,0.7906728365113399,0.7584902921056285,0.7200353681326022,0.6667553866826226,0.5863317545330293,0.3381873108709167,0.19824258329069522,0.10667939577966201,0.05265145561689577,0.01413230715754521,0.0018897053490344318,0,0,0,0,0,0,0
1990,0.2,cdf_comp,0.843455475961112,0.8016208462241576,0.7683070505278142,0.7358779693353541,0.6917157946286874,0.624106733466778,0.4568991331726322,0.25898695997556975,0.15592011647079584,0.07871772154858281,0.04200454251337982,0.009347950343347233,0.0018897053490344318,0,0,0,0,0,0,0,0
1990,0.24,cdf_comp,0.7858311338954787,0.7589018789850803,0.7191932867769386,0.6685513783398419,0.5797845055381976,0.3628038261180212,0.23679232640137626,0.13495715403748143,0.07366763600209081,0.03518515575632841,0.002364321810926384,2.2911483251875087e-4,0,0,0,0,0,0,0,0,0
1990,0.28,cdf_comp,0.74699173202551294,0.6965361742805783,0.6453922496604316,0.47436290903836364,0.32980606971939563,0.22539796896883169,0.12970096993543223,0.07962598268783616,0.04044275840737399,0.005611166403637569,0,0,0,0,0,0,0,0,0,0,0
1990,0.32,cdf_comp,0.6841034645420229,0.5896344433102231,0.4085692135902387,0.3133111340639154,0.21162919694094628,0.1330347357984123,0.08992115953881885,0.0551944219484084,0.0126124085860988,0,0,0,0,0,0,0,0,0,0,0,0
1990,0.36,cdf_comp,0.4913884491120757,0.3711289355413445,0.29207048427467186,0.1880114552048776,0.13061513850057427,0.093810875201088,0.06828306682599639,0.026220079454973955,0.001207677215284364,0,0,0,0,0,0,0,0,0,0,0,0
2020,0.04,cdf_comp,0.9961740423467463,0.9939685709025823,0.9920188113509554,0.9905283254268682,0.9877202807569666,0.9849623161252604,0.9790320460571704,0.9704638301367268,0.9490560360122453,0.912555166273269,0.8704812022893658,0.828136241229434,0.7820924824049484,0.7443990995590677,0.6886248651373417,0.5685196021365428,0.40833002060747636,0.15035762194190427,0.041115494718082624,0.003335271168302234,0
2020,0.08,cdf_comp,0.9921268828136575,0.9900145466804529,0.9866326898033047,0.9816986887382684,0.9733430411766957,0.9614381419135168,0.9281674607152329,0.8796341065673043,0.8413717618519307,0.7988901247733139,0.7678170437514747,0.7204118524891372,0.6277870506107911,0.47696643604788347,0.25255360453672593,0.13169573280042157,0.03843430904744216,0.002767003350447994,3.8407533899242896e-4,0,0
2020,0.12,cdf_comp,0.9844723317156662,0.9764694469321538,0.9672933942267228,0.9487053393416648,0.9078613271345722,0.8667567607209073,0.8269940448604168,0.7947816800793283,0.76115982881108,0.6996687953484515,0.5838110280809603,0.39117416334441935,0.2374105612160926,0.15060137047035427,0.04978963575656481,0.007531246605967157,0.0014021126899792513,0,0,0,0
2020,0.16,cdf_comp,0.9628770674233696,0.936240890030639,0.9030961009735531,0.8603428409688749,0.8250742579087545,0.7954389389576046,0.7592984505172794,0.6965300731852981,0.5802284739362669,0.36018249498100363,0.24984852824464399,0.1655185100121883,0.08812681769315922,0.019856323928936437,0.0038620242673191862,3.8407533899242896e-4,0,0,0,0,0
2020,0.2,cdf_comp,0.9027377416519309,0.8652975432273013,0.8307206247498204,0.805054731548208,0.7728932130704189,0.7144611500222224,0.6283013990412105,0.4338932864392997,0.28730474201113665,0.21359353733134467,0.1350650084871683,0.059776461131952785,0.008347070206637053,0.0014021126899792513,0,0,0,0,0,0,0
2020,0.24,cdf_comp,0.8450627084080609,0.818166000879913,0.7919551848690387,0.7428486042453044,0.6739261271976322,0.5371692173960376,0.3688107443622787,0.2785487149148471,0.1987005692410948,0.12914674190175734,0.05997470314167719,0.0073837987453729825,3.8407533899242896e-4,0,0,0,0,0,0,0,0
2020,0.28,cdf_comp,0.8129822696043831,0.7808379660143533,0.7190014272269285,0.636982516702814,0.4863568905318325,0.35152547254566,0.26971742132840415,0.19179632808329672,0.13076852795322258,0.07093523883592656,0.010211762296123639,0,0,0,0,0,0,0,0,0,0
2020,0.32,cdf_comp,0.7674969696020466,0.6948495976458282,0.5915061511108806,0.4406798878502417,0.3404844950629098,0.2634293335396819,0.19584426591706727,0.1359759612928123,0.09077592854962235,0.03081479752756522,0,0,0,0,0,0,0,0,0,0,0
2020,0.36,cdf_comp,0.6626562530891316,0.5330011845575902,0.404769278941167,0.32458999039849756,0.25140901308777586,0.19848230805404155,0.14151045342866964,0.11364080987048308,0.06006072542630336,0.0020411817987148195,0,0,0,0,0,0,0,0,0,0,0
2020,0.04,cdf_comp_diff,-0.0013059309203783398,-0.0018650740163160817,-0.0018213568869108743,-0.0016985500407538101,3.4816418307492825e-5,0.0029214052105399624,0.007607434425054627,0.019378648780700947,0.03324569210248551,0.061569747889846704,0.06297209975758378,0.07689857799701694,0.07244692814996379,0.09387334792027446,0.12274280111558,0.21837826513507186,0.25797308588405965,0.1237341665780215,0.040610028010446775,0.003335271168302234,0
2020,0.08,cdf_comp_diff,-0.0015627019753260418,-0.0011363497885186202,0.003061845041466449,0.009719207193261803,0.016757279535087433,0.045232581946508255,0.0671039354265971,0.06187363926199296,0.07361668663027121,0.06998740686346894,0.09046578936469973,0.11820391164738431,0.20242159389037906,0.2667885073833516,0.17698421190899027,0.11678900971333273,0.03756919224523614,0.002767003350447994,3.8407533899242896e-4,0,0
2020,0.12,cdf_comp_diff,0.003618557810152301,0.01343825552537603,0.03308647624825456,0.06684830113126494,0.0664688463401123,0.07420653531634736,0.07058692390547883,0.07430382689757753,0.09780360821206535,0.13869606741936924,0.2898632922950657,0.20860657202470478,0.156805092810671,0.11132181904519589,0.04344383030402921,0.007143433201927785,0.0014021126899792513,0,0,0,0
2020,0.16,cdf_comp_diff,0.045501076737025636,0.05970777802673244,0.06525642725975878,0.06967000445753502,0.06658396580312609,0.07540357082500249,0.09254306383465682,0.11019831865226881,0.24204116306535017,0.1619399116903084,0.14316913246498197,0.11286705439529254,0.07399451053561401,0.017966618579902005,0.0038620242673191862,3.8407533899242896e-4,0,0,0,0,0
2020,0.2,cdf_comp_diff,0.05928226569081885,0.06367669700314371,0.06241357422200622,0.06917676221285385,0.08117741844173154,0.0903544165554444,0.17140226586857832,0.17490632646372994,0.1313846255403408,0.13487581578276187,0.09306046597378848,0.05042851078860555,0.006457364857602621,0.0014021126899792513,0,0,0,0,0,0,0
2020,0.24,cdf_comp_diff,0.05923157451258221,0.059264121894832655,0.0727618980921001,0.0742972259054625,0.09414162165943463,0.17436539127801642,0.1320184179609024,0.1435915608773657,0.125032933239004,0.09396158614542893,0.057610381330750804,0.007154683912854232,3.8407533899242896e-4,0,0,0,0,0,0,0,0
2020,0.28,cdf_comp_diff,0.06599053757887019,0.08430179173377494,0.07360917756649688,0.16261960766445038,0.15655082081243687,0.12612750357682834,0.14001645139297192,0.11217034539546056,0.09032576954584859,0.065324072432289,0.010211762296123639,0,0,0,0,0,0,0,0,0,0
2020,0.32,cdf_comp_diff,0.08339350506002374,0.10521515433560513,0.18293693752064188,0.12736875378632628,0.1288552981219635,0.1303945977412696,0.10592310637824842,0.08078153934440391,0.07816351996352355,0.03081479752756522,0,0,0,0,0,0,0,0,0,0,0
2020,0.36,cdf_comp_diff,0.17126780397705588,0.16187224901624564,0.11269879466649513,0.13657853519361995,0.12079387458720159,0.10467143285295355,0.07322738660267325,0.08742073041550913,0.058853048211019,0.0020411817987148195,0,0,0,0,0,0,0,0,0,0,0
