stats,year,utci_thres,shrtime_4,shrtime_8,shrtime_12,shrtime_16,shrtime_20,shrtime_24,shrtime_28,shrtime_32,shrtime_36
cdf_comp,1990,40,0,0,0,0,0,0,0,0,0
cdf_comp,1990,39,0,0,0,0,0,0,0,0,0
cdf_comp,1990,38,5.054667076358488e-4,0,0,0,0,0,0,0,0
cdf_comp,1990,37,0.026623455363882775,0,0,0,0,0,0,0,0
cdf_comp,1990,36,0.1503569347234167,8.651168022060229e-4,0,0,0,0,0,0,0
cdf_comp,1990,35,0.350141337001471,0.014906723087088847,3.8781340403937214e-4,0,0,0,0,0,0
cdf_comp,1990,34,0.5658820640217617,0.07556939262773565,0.006345805452535602,0,0,0,0,0,0
cdf_comp,1990,33,0.6505257516387932,0.2101779286645319,0.03927955142515838,0.0018897053490344318,0,0,0,0,0
cdf_comp,1990,32,0.7096455542549847,0.42536545672041204,0.0806054684054216,0.01413230715754521,0.0018897053490344318,0,0,0,0
cdf_comp,1990,31,0.751237663232417,0.6022079408417529,0.18256759131971456,0.05265145561689577,0.009347950343347233,2.2911483251875087e-4,0,0,0
cdf_comp,1990,30,0.807509102531782,0.677351254386775,0.2939477357858946,0.10667939577966201,0.04200454251337982,0.002364321810926384,0,0,0
cdf_comp,1990,29,0.8509854183834223,0.728902717909845,0.5609727279290823,0.19824258329069522,0.07871772154858281,0.03518515575632841,0.005611166403637569,0,0
cdf_comp,1990,28,0.9158103439097598,0.7677550752216595,0.6633562205990147,0.3381873108709167,0.15592011647079584,0.07366763600209081,0.04044275840737399,0.0126124085860988,0.001207677215284364
cdf_comp,1990,27,0.9510851813560258,0.8177604673053114,0.7204778531817507,0.5863317545330293,0.25898695997556975,0.13495715403748143,0.07962598268783616,0.0551944219484084,0.026220079454973955
cdf_comp,1990,26,0.9714246116321158,0.8610635252886358,0.756407120954938,0.6667553866826226,0.4568991331726322,0.23679232640137626,0.12970096993543223,0.08992115953881885,0.06828306682599639
cdf_comp,1990,25,0.9820409109147205,0.9162055599670086,0.79255022540456,0.7200353681326022,0.624106733466778,0.3628038261180212,0.22539796896883169,0.1330347357984123,0.093810875201088
cdf_comp,1990,24,0.9876854643386591,0.9565857616416082,0.8413924807944599,0.7584902921056285,0.6917157946286874,0.5797845055381976,0.32980606971939563,0.21162919694094628,0.13061513850057427
cdf_comp,1990,23,0.992226875467622,0.9719794815450066,0.8818570382103998,0.7906728365113399,0.7358779693353541,0.6685513783398419,0.47436290903836364,0.3133111340639154,0.1880114552048776
cdf_comp,1990,22,0.9938401682378663,0.9835708447618382,0.9342069179784682,0.8378396737137943,0.7683070505278142,0.7191932867769386,0.6453922496604316,0.4085692135902387,0.29207048427467186
cdf_comp,1990,21,0.9958336449188984,0.9911508964689715,0.9630311914067777,0.8765331120039066,0.8016208462241576,0.7589018789850803,0.6965361742805783,0.5896344433102231,0.3711289355413445
cdf_comp,1990,20,0.9974799732671247,0.9936895847889835,0.9808537739055139,0.917375990686344,0.843455475961112,0.7858311338954787,0.74699173202551294,0.6841034645420229,0.4913884491120757
cdf_comp,1990,19,0.9983333518958777,0.9957049531315565,0.9867817943140633,0.9574544599605376,0.8801882143588302,0.8139621490104825,0.7733406182853151,0.7337674144381565,0.6391652061522624
cdf_comp,1990,18,0.999081198786108,0.9973021434537321,0.9926935173838036,0.9766478016902752,0.9187192639330728,0.8579644653859763,0.8005253046680619,0.7680460470972452,0.7101850469689561
cdf_comp,1990,17,0.9994270979012165,0.9981822221139354,0.9958628625553244,0.9848548232994986,0.9535959332066108,0.8868922034329869,0.8410433963339696,0.7955983996543647,0.7551056565644444
cdf_comp,1990,16,0.9999429545217728,0.9986078315419137,0.9975377599691518,0.9903152656773259,0.9763861305193001,0.9247642507352316,0.8712344001863334,0.8233505216103703,0.7864324996271677
cdf_comp,1990,15,0.9999670794395042,0.9991937849304511,0.9980517858947194,0.9943482356186624,0.9838484330749319,0.9542451749669323,0.894001133931837,0.8532752312277996,0.8143269301629095
cdf_comp,1990,14,1,0.9993953402953034,0.9986078315419137,0.9975425555593405,0.9895619746260819,0.9770447941286998,0.9294431460993707,0.879072400970791,0.8403507067182346
cdf_comp,1990,13,1,0.9999240660945939,0.9990027504706563,0.9980517858947194,0.9936731500681769,0.9839970612265492,0.9583283660156479,0.8975377586911797,0.8602027727610452
cdf_comp,1990,12,1,0.9999429545217728,0.9993189559047431,0.9985152328807286,0.9972095895215697,0.9898751193170635,0.9782194038167006,0.928353499189443,0.8859317594992286
cdf_comp,1990,11,1,1,0.9997008778575448,0.9987613671062756,0.9980517858947194,0.9933790918900448,0.9846104430906162,0.9621084284794721,0.9004327615986619
cdf_comp,1990,10,1,1,0.9999240660945939,0.9991256210952242,0.9984008895247908,0.9964931360152127,0.9890465461261686,0.9796342882283123,0.9291588068988229
cdf_comp,1990,9,1,1,0.9999429545217728,0.9993905574848354,0.9986892447525653,0.997989951216164,0.992980888573085,0.984904050783594,0.9624431453389773
cdf_comp,1990,8,1,1,0.9999670794395042,0.9997008778575448,0.9990027217162848,0.99828983055707,0.9962748871402098,0.9896009048502318,0.9790475616666732
cdf_comp,1990,7,1,1,1,0.9999031808360573,0.9993067768309262,0.9985813775200867,0.9979307108209083,0.993067017500671,0.9856921474041355
cdf_comp,1990,6,1,1,1,0.9999240660945939,0.9994169571928495,0.9989240146114892,0.9982648078639602,0.9954026456437194,0.989785923256512
cdf_comp,1990,5,1,1,1,0.9999670794395042,0.9997563833794288,0.9991766920540291,0.9985813775200867,0.9979325926347798,0.9931828784484407
