stats,utci_thres,year,shrtime_4,shrtime_8,shrtime_12,shrtime_16,shrtime_20,shrtime_24,shrtime_28,shrtime_32,shrtime_36
cdf_comp_diff,40,2020,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16
cdf_comp_diff,39,2020,0.002767003350447994,0,0,0,0,0,0,0,0
cdf_comp_diff,38,2020,0.006888237851512824,8.232014097095952e-4,0,0,0,0,0,0,0
cdf_comp_diff,37,2020,0.03743161372513981,0.002767003350447994,0,0,0,0,0,0,0
cdf_comp_diff,36,2020,0.021251063920753488,0.013594947610921171,0.0014021126899792513,0,0,0,0,0,0
cdf_comp_diff,35,2020,0.09967775547691682,0.05462242021616737,0.005352274479426988,3.8407533899242896e-4,0,0,0,0,0
cdf_comp_diff,34,2020,0.06987141750339099,0.06970269182037914,0.017738922995701456,0.002954617945193805,0,0,0,0,0
cdf_comp_diff,33,2020,0.06158823515352507,0.06935668324976707,0.061810368799196214,0.007142114561381252,3.8407533899242896e-4,0,0,0,0
cdf_comp_diff,32,2020,0.05594657749707466,0.07357696526859958,0.0977453594488531,0.030120846196232676,0.005113753403493848,0,0,0,0
cdf_comp_diff,31,2020,0.054109614792031246,0.06459579910933644,0.05707387427639243,0.07460391406412303,0.016847784776698793,0.0020582883662761953,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16
cdf_comp_diff,30,2020,0.050605396634936906,0.05335234201793759,0.0927526615183547,0.07839045004911893,0.05875725386380737,0.01609165865793083,0.003773069313629196,0,0
cdf_comp_diff,29,2020,0.042667236429070554,0.051788553769131496,0.07783838461990367,0.051080045076121405,0.0905872033752082,0.05891320693782187,0.034042887569254665,0.007166857459991238,9.030494430511959e-4
cdf_comp_diff,28,2020,0.040220956139038644,0.05115798444374198,0.06000983232372814,0.07281979431456631,0.06528652788107103,0.09671736566181555,0.06603748752101324,0.05758520437763737,0.03278327138504333
cdf_comp_diff,27,2020,0.01861248599064791,0.054932265950322634,0.055588072864667604,0.07058686943999892,0.02879566323590943,0.07434208656598551,0.09148508847731418,0.06492868126082318,0.07371687016226158
cdf_comp_diff,26,2020,0.008847388837371795,0.049560576873472484,0.04763028206207076,0.05978740766657453,0.026306385546061906,0.04629829949301789,0.08726376806252978,0.08737494946065016,0.07016466018656353
cdf_comp_diff,25,2020,0.0023296453269887607,0.039821153281306754,0.05574770926387351,0.05507437854078223,0.04832777240057007,0.011196381803158184,0.07014134217953227,0.10356707412443733,0.08352616004928204
cdf_comp_diff,24,2020,6.316630249574295e-4,0.02028777320060393,0.046713625505998224,0.046211307455753525,0.058922926321270275,0.017575552965832575,0.010979727544738083,0.08087638535070696,0.0954355527910562
cdf_comp_diff,23,2020,-0.0029503033265531053,0.007293419150785407,0.042334402325633125,0.055147393419462065,0.055037015251218624,0.031325218619689954,0.01088360714154013,0.043843860897435194,0.08495980219970578
cdf_comp_diff,22,2020,-0.0012253504855589403,0.0030185384173032626,0.03567748104636248,0.04412862891447933,0.049101429804472296,0.05405792631788353,0.03623352116147238,0.02291365993486516,0.0661481797992991
cdf_comp_diff,21,2020,-0.0021759048326518426,-4.125606809786131e-4,0.01221868128107051,0.04067759805386928,0.051407949269856035,0.043322237727610347,0.04824175309927603,0.04092080480499938,0.06510505638921493
cdf_comp_diff,20,2020,-0.0016090436284815768,-0.001269638960628705,0.0024519443778833194,0.03966269447009485,0.042792994259213124,0.045437650641238836,0.04764197170511997,0.04885564800160891,0.07329126231504768
cdf_comp_diff,19,2020,-0.0011765135778520897,-0.0021859334421086007,3.1355069715632844e-4,0.01848178503631981,0.038580253139106624,0.05477211918404956,0.04986319745559631,0.04849438856235855,0.05504087903243127
cdf_comp_diff,18,2020,-6.9866388814388e-4,-0.001938642083391784,3.427594367122477e-5,0.0034563380836319935,0.033442546553879016,0.04353257142226008,0.05590002200857236,0.05254235444610711,0.061031100638239466
cdf_comp_diff,17,2020,-8.045177536473158e-4,-0.0014855350596593153,-9.766940424683623e-4,8.249604840037117e-4,0.021105571206895823,0.041424153324566726,0.05004492259752591,0.05831849158893554,0.05537829466893185
cdf_comp_diff,16,2020,-2.4861914930895956e-5,-9.4750302735358e-4,-0.002005897929792444,5.053003661126265e-5,0.0026485299209046964,0.030348742954313335,0.04453137317210343,0.05645007660193868,0.06238051608488049
cdf_comp_diff,15,2020,-4.4807602739505015e-5,-0.001168515929354852,-0.0012731212710364037,-5.186830330047298e-4,0.0021061663521568796,0.020057914466870996,0.034467180201897873,0.05167851181156613,0.05714152961153207
cdf_comp_diff,14,2020,-1.4173898497560344e-5,-7.65130143313697e-4,-9.976842230448035e-4,-0.00124913616551392,3.3084432582408674e-4,0.0037151003290297746,0.03457262958272245,0.0400811004536048,0.053368769548246986
cdf_comp_diff,13,2020,0,-6.47292067519345e-5,-8.038531851563002e-4,-0.0015942578406816788,2.4667297601932425e-4,0.0023725209418348214,0.01335124510385921,0.03276379571982946,0.05188663471922206
cdf_comp_diff,12,2020,0,-2.9386016035637397e-5,-8.645954187032068e-4,-0.0011866438740228968,-9.487376980339413e-4,-4.1792182177591286e-4,0.00456031514055244,0.03393386229932149,0.03954937116683388
cdf_comp_diff,11,2020,0,-1.4173898497560344e-5,-9.072728482730774e-4,-9.650721461481604e-4,-0.0015619877858898956,1.859607833538668e-4,0.0030599150746136727,0.010136879344980643,0.03396028377036864
