stats_type,popgrp,age_group_m3,all_locations,popgrp_mass,expo_grp_mean,expo_overall_mean,fl_temp_bound
within-group,1,0_14,1,0.27686857948860366,0.999779463369717,0.999771286006049,-40
within-group,1,0_14,1,0.27686857948860366,0.9996877432825988,0.9996770338796668,-39
within-group,1,0_14,1,0.27686857948860366,0.9995620181892464,0.9995476659738992,-38
within-group,1,0_14,1,0.27686857948860366,0.9993794875995948,0.9993601706763456,-37
within-group,1,0_14,1,0.27686857948860366,0.9991302950577766,0.9991080513089624,-36
within-group,1,0_14,1,0.27686857948860366,0.9988157964983574,0.9987896202805024,-35
within-group,1,0_14,1,0.27686857948860366,0.9984254232192488,0.9983938341483848,-34
within-group,1,0_14,1,0.27686857948860366,0.9979324286575416,0.997890071208854,-33
within-group,1,0_14,1,0.27686857948860366,0.9973269789720766,0.9972678454144585,-32
within-group,1,0_14,1,0.27686857948860366,0.9965910357001628,0.9965160442720864,-31
within-group,1,0_14,1,0.27686857948860366,0.9957223383769138,0.995626765056862,-30
within-group,1,0_14,1,0.27686857948860366,0.994702777566964,0.9945820097784084,-29
within-group,1,0_14,1,0.27686857948860366,0.9935148461339935,0.9933628900672072,-28
within-group,1,0_14,1,0.27686857948860366,0.9921516706266804,0.9919630317763284,-27
within-group,1,0_14,1,0.27686857948860366,0.9906266380916686,0.990396671587443,-26
within-group,1,0_14,1,0.27686857948860366,0.9889362217323434,0.9886573792795946,-25
within-group,1,0_14,1,0.27686857948860366,0.9871093905469848,0.9867752147352988,-24
within-group,1,0_14,1,0.27686857948860366,0.9851441870449126,0.9847506199884826,-23
within-group,1,0_14,1,0.27686857948860366,0.9830280566360464,0.9825655842877532,-22
within-group,1,0_14,1,0.27686857948860366,0.9807743047380226,0.9802475244185492,-21
within-group,1,0_14,1,0.27686857948860366,0.9783338056114126,0.9777450086003444,-20
within-group,1,0_14,1,0.27686857948860366,0.9756742412329268,0.9750052019323534,-19
within-group,1,0_14,1,0.27686857948860366,0.9727661353040812,0.9720223183676532,-18
within-group,1,0_14,1,0.27686857948860366,0.9695240321485864,0.968693448646856,-17
within-group,1,0_14,1,0.27686857948860366,0.9658636969240312,0.9649435839029812,-16
within-group,1,0_14,1,0.27686857948860366,0.961730397135746,0.9607204421853796,-15
within-group,1,0_14,1,0.27686857948860366,0.9570100934057044,0.9559078712993572,-14
within-group,1,0_14,1,0.27686857948860366,0.9516580785446102,0.9504546978822954,-13
within-group,1,0_14,1,0.27686857948860366,0.9457117701588064,0.9444407784802163,-12
within-group,1,0_14,1,0.27686857948860366,0.9392127301623212,0.937874267938451,-11
within-group,1,0_14,1,0.27686857948860366,0.9322757107027728,0.930853475975696,-10
within-group,1,0_14,1,0.27686857948860366,0.9248141118418178,0.923314104017431,-9
within-group,1,0_14,1,0.27686857948860366,0.9167235286373684,0.9151343422215452,-8
within-group,1,0_14,1,0.27686857948860366,0.9079582543421532,0.9062643353735936,-7
within-group,1,0_14,1,0.27686857948860366,0.8983109441761583,0.8965149521503935,-6
within-group,1,0_14,1,0.27686857948860366,0.8879425706816656,0.886036292723421,-5
within-group,1,0_14,1,0.27686857948860366,0.8767374280838495,0.8747128011894032,-4
within-group,1,0_14,1,0.27686857948860366,0.8648994262579176,0.8627688837539783,-3
within-group,1,0_14,1,0.27686857948860366,0.8523135974626556,0.8500477645745259,-2
within-group,1,0_14,1,0.27686857948860366,0.8389732730592723,0.8365951193042133,-1
within-group,1,0_14,1,0.27686857948860366,0.8247459802575146,0.8222415620463658,0
within-group,1,0_14,1,0.27686857948860366,0.8095182951622291,0.8068812797056086,1
within-group,1,0_14,1,0.27686857948860366,0.7932819402812173,0.7904563206919175,2
within-group,1,0_14,1,0.27686857948860366,0.7759246749715627,0.7729048695492898,3
within-group,1,0_14,1,0.27686857948860366,0.7576946357044094,0.7544912535462744,4
