share_time,share_gr-40,share_gr-39,share_gr-38,share_gr-37,share_gr-36,share_gr-35,share_gr-34,share_gr-33,share_gr-32,share_gr-31,share_gr-30,share_gr-29,share_gr-28,share_gr-27,share_gr-26,share_gr-25,share_gr-24,share_gr-23,share_gr-22,share_gr-21,share_gr-20,share_gr-19,share_gr-18,share_gr-17,share_gr-16,share_gr-15,share_gr-14,share_gr-13,share_gr-12,share_gr-11,share_gr-10,share_gr-9,share_gr-8,share_gr-7,share_gr-6,share_gr-5,share_gr-4,share_gr-3,share_gr-2,share_gr-1,share_gr0,share_gr1,share_gr2,share_gr3,share_gr4,share_gr5,share_gr6,share_gr7,share_gr8,share_gr9,share_gr10,share_gr11,share_gr12,share_gr13,share_gr14,share_gr15,share_gr16,share_gr17,share_gr18,share_gr19,share_gr20,share_gr21,share_gr22,share_gr23,share_gr24,share_gr25,share_gr26,share_gr27,share_gr28,share_gr29,share_gr30,share_gr31,share_gr32,share_gr33,share_gr34,share_gr35,share_gr36,share_gr37,share_gr38,share_gr39,share_gr40
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8191932401309596e-5,5.640617269966293e-4,0.001181823840329966,0.002671747576899463,0.0044648222628715355,0.006896355819833369,0.007909215777999083,0.011543436069316269,0.014187093820140509,0.020983844496920975,0.036368081847567825,0.05134332979699296,0.07394854704256405,0.09392240701847443,0.12435161847462758,0.17281953348102486,0.2553472539891468,0.3247870868181316
0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.432991902008581e-5,6.339412397260713e-4,0.0013519698466579852,0.0021857156295019176,0.004006896116200073,0.00620092175908025,0.007434822961219374,0.010497697084746994,0.01363551788025739,0.01942946623905467,0.031030966969323063,0.05022248758886247,0.07685447980616594,0.1261110729103961,0.1905221527416499,0.2522627182390506,0.29824476031611485,0.35165033766609965,0.4417414099813438,0.6076251046954655,0.8236016303421957,0.957264409539236
0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7045478227148345e-5,6.432991902008581e-5,6.165544297281917e-4,0.0013654300874740579,0.001984527681619433,0.003992384743357301,0.005872997321121343,0.007202762403081559,0.010381775433303946,0.013660131622305104,0.018899721257039155,0.03410744830045468,0.05702780387343498,0.09166458820484312,0.1567866422372083,0.20458251326664417,0.2637918250465439,0.3052787633125632,0.37391204879926104,0.4719778936647109,0.6968296925155112,0.8779982910062916,0.9811958167399044,0.9998823466964036
0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7045478227148345e-5,6.432991902008581e-5,5.729020987834967e-4,0.0011176089387960842,0.0019040378057876466,0.003165038405648567,0.005045117430073829,0.007105425660451018,0.008946440273659068,0.013043353547464848,0.01910754187995942,0.033035910254743756,0.05555731809203401,0.09098152810864749,0.16054064365561674,0.20120733471877023,0.2601363776391617,0.30157861883206993,0.3629395850909042,0.46672915055503306,0.6904919734312418,0.87425127690017,0.9819459320305572,1,1
0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2920560495801535e-5,5.7045478227148345e-5,5.729020987834967e-4,9.188012138919939e-4,0.0016666481041223663,0.002520026732875334,0.004166355081101612,0.006159831762133772,0.007773124532378045,0.012314535661340938,0.017959089085279555,0.028575388367884192,0.04891481864397416,0.08418965609024018,0.14901458161657766,0.192490897468218,0.24876233676758297,0.29035444574501534,0.3494742483612067,0.4341179359782383,0.649858662998529,0.8496430652765833,0.9733765446361171,0.9994945332923642,1,1
0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2920560495801535e-5,5.7045478227148345e-5,2.545848158528194e-4,8.181800830442868e-4,0.0014377537217853409,0.002037592276851845,0.003231064832590166,0.005253762344978557,0.007116793222004207,0.010111973165040266,0.014693272997204836,0.026596135515979294,0.04319660610491222,0.07481452328098656,0.1393471765951583,0.18112729123858212,0.23398487416540678,0.27750235988724786,0.32554731725770986,0.40620509625484325,0.5765168459754132,0.8152155872106255,0.9512302184061295,0.9981896503265861,1,1,1
0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2920560495801535e-5,5.7045478227148345e-5,1.6363793356696078e-4,7.154407134923175e-4,0.0012486713643258562,0.0017424126782292606,0.0026978565462678337,0.004218342984865945,0.005982327831618852,0.00828613766508101,0.013974733201445348,0.022983324451746966,0.037708949311876926,0.06635892012970425,0.12348532913304819,0.16836914591267196,0.21507313038612919,0.26480700771894494,0.3035067016823346,0.3766154485493779,0.5140557694103365,0.763817908456471,0.9106492153701982,0.9866599748215222,0.9991348831977939,1,1,1
0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7045478227148345e-5,1.3177489495820406e-4,7.032712244658708e-4,9.184881107351044e-4,0.001498150681763275,0.0020587363247323975,0.0031848661422981153,0.005130338997490853,0.007645448732830954,0.011970157332994474,0.018938766498675336,0.032292050637368466,0.053556128849565815,0.09876332048658308,0.15512122098627212,0.19889344168568418,0.24758049695260215,0.28730937377240806,0.3488442145210814,0.44740533426691736,0.6953855968573338,0.8560162193313942,0.9543152940994247,0.9961744001964294,0.9996121865959606,1,1,1
0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7045478227148345e-5,7.593390540602827e-5,6.046597046965662e-4,8.062150695488698e-4,0.0013921684580863796,0.0018177778860646121,0.0026978565462678337,0.0042950468684435075,0.006310415211016548,0.008849103531028525,0.01642915523816183,0.028020518454993388,0.04341423835839175,0.08379444003299143,0.1389364747113642,0.18223953269468865,0.23224492477834038,0.27109728209015505,0.32264874561322504,0.39779205915824706,0.574634543279588,0.7898220713354681,0.9244306073722643,0.9850932769129113,0.9991348831977939,1,1,1,1
0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2920560495801535e-5,5.7045478227148345e-5,1.881590226396779e-4,7.032712244658707e-4,0.0011255004163217665,0.0015330265395245492,0.002074388287646696,0.0033188071999131668,0.005046449715955695,0.007827930364554382,0.014794370172648223,0.021406846861878576,0.03680187349171742,0.07093045306033197,0.12351000357876918,0.16780315125292108,0.21318911840266175,0.25573670639236457,0.29533294888099587,0.3605451159188717,0.4894940248511764,0.7496329839939175,0.8780141410548764,0.9536928290488778,0.9926732711113014,0.9996121865959606,1,1,1,1
