stats_type,popgrp,age_group_m3,region_name,popgrp_mass,expo_grp_mean,expo_overall_mean,fl_temp_bound
within-group,1,0_14,Central,0.05129902242330484,0.9999569493612068,0.9996602498511992,-40
within-group,4,0_14,Eastern,0.06814472511805238,0.9998868313333192,0.9996602498511992,-40
within-group,7,0_14,Northeastern,0.0076095769551185,0.9980477265162592,0.9996602498511992,-40
within-group,10,0_14,Western,0.05283044160902016,0.9996298730941996,0.9996602498511992,-40
within-group,1,0_14,Central,0.05129902242330484,0.9999452348190184,0.9995363889249336,-39
within-group,4,0_14,Eastern,0.06814472511805238,0.9998595535687206,0.9995363889249336,-39
within-group,7,0_14,Northeastern,0.0076095769551185,0.997109778099318,0.9995363889249336,-39
within-group,10,0_14,Western,0.05283044160902016,0.999510270419952,0.9995363889249336,-39
within-group,1,0_14,Central,0.05129902242330484,0.9999286770186752,0.9993736320240012,-38
within-group,4,0_14,Eastern,0.06814472511805238,0.9998243476494116,0.9993736320240012,-38
within-group,7,0_14,Northeastern,0.0076095769551185,0.9958550800880862,0.9993736320240012,-38
within-group,10,0_14,Western,0.05283044160902016,0.9993540645832768,0.9993736320240012,-38
within-group,1,0_14,Central,0.05129902242330484,0.9999081250408436,0.9991604727897996,-37
within-group,4,0_14,Eastern,0.06814472511805238,0.9997850949314688,0.9991604727897996,-37
within-group,7,0_14,Northeastern,0.0076095769551185,0.9941050997216224,0.9991604727897996,-37
within-group,10,0_14,Western,0.05283044160902016,0.9991538764023528,0.9991604727897996,-37
within-group,1,0_14,Central,0.05129902242330484,0.9998848555303892,0.998890075659905,-36
within-group,4,0_14,Eastern,0.06814472511805238,0.9997352128648248,0.998890075659905,-36
within-group,7,0_14,Northeastern,0.0076095769551185,0.991800127919958,0.998890075659905,-36
within-group,10,0_14,Western,0.05283044160902016,0.9989033453490668,0.998890075659905,-36
within-group,1,0_14,Central,0.05129902242330484,0.9998557852979196,0.9985627008666752,-35
within-group,4,0_14,Eastern,0.06814472511805238,0.9996759286479858,0.9985627008666752,-35
within-group,7,0_14,Northeastern,0.0076095769551185,0.989016110846319,0.9985627008666752,-35
within-group,10,0_14,Western,0.05283044160902016,0.9985927558035522,0.9985627008666752,-35
within-group,1,0_14,Central,0.05129902242330484,0.9998205879835556,0.9981583920610408,-34
within-group,4,0_14,Eastern,0.06814472511805238,0.9995995701888656,0.9981583920610408,-34
within-group,7,0_14,Northeastern,0.0076095769551185,0.9855929548775184,0.9981583920610408,-34
within-group,10,0_14,Western,0.05283044160902016,0.9982086509584012,0.9981583920610408,-34
within-group,1,0_14,Central,0.05129902242330484,0.9997756207002724,0.9976621085903096,-33
within-group,4,0_14,Eastern,0.06814472511805238,0.9995111789371722,0.9976621085903096,-33
within-group,7,0_14,Northeastern,0.0076095769551185,0.9813550595948746,0.9976621085903096,-33
within-group,10,0_14,Western,0.05283044160902016,0.9977297812593824,0.9976621085903096,-33
within-group,1,0_14,Central,0.05129902242330484,0.9997171906276756,0.99705973783317,-32
within-group,4,0_14,Eastern,0.06814472511805238,0.999394549760524,0.99705973783317,-32
within-group,7,0_14,Northeastern,0.0076095769551185,0.9762406951370108,0.99705973783317,-32
within-group,10,0_14,Western,0.05283044160902016,0.9971518352602464,0.99705973783317,-32
within-group,1,0_14,Central,0.05129902242330484,0.9996500454956332,0.9963590046956228,-31
within-group,4,0_14,Eastern,0.06814472511805238,0.9992579087492148,0.9963590046956228,-31
within-group,7,0_14,Northeastern,0.0076095769551185,0.9702690462524608,0.9963590046956228,-31
within-group,10,0_14,Western,0.05283044160902016,0.9964718676723192,0.9963590046956228,-31
within-group,1,0_14,Central,0.05129902242330484,0.999566398458778,0.995544414704811,-30
within-group,4,0_14,Eastern,0.06814472511805238,0.9990953603794764,0.995544414704811,-30
within-group,7,0_14,Northeastern,0.0076095769551185,0.9634439933491696,0.995544414704811,-30
within-group,10,0_14,Western,0.05283044160902016,0.9956595608300072,0.995544414704811,-30
within-group,1,0_14,Central,0.05129902242330484,0.9994518029011068,0.9946024522074852,-29
within-group,4,0_14,Eastern,0.06814472511805238,0.9989059171723134,0.9946024522074852,-29
within-group,7,0_14,Northeastern,0.0076095769551185,0.9556248011460384,0.9946024522074852,-29
within-group,10,0_14,Western,0.05283044160902016,0.9947095803105686,0.9946024522074852,-29
within-group,1,0_14,Central,0.05129902242330484,0.999314799218761,0.9935334490702,-28
within-group,4,0_14,Eastern,0.06814472511805238,0.9986842194448962,0.9935334490702,-28
within-group,7,0_14,Northeastern,0.0076095769551185,0.9469424620057674,0.9935334490702,-28
within-group,10,0_14,Western,0.05283044160902016,0.9936009488396916,0.9935334490702,-28
within-group,1,0_14,Central,0.05129902242330484,0.9991490098126392,0.9923276819388698,-27
within-group,4,0_14,Eastern,0.06814472511805238,0.9984200461638258,0.9923276819388698,-27
within-group,7,0_14,Northeastern,0.0076095769551185,0.9373185768169672,0.9923276819388698,-27
within-group,10,0_14,Western,0.05283044160902016,0.9923296218335445,0.9923276819388698,-27
within-group,1,0_14,Central,0.05129902242330484,0.998935486316139,0.9909805983334184,-26
within-group,4,0_14,Eastern,0.06814472511805238,0.998099225809225,0.9909805983334184,-26
within-group,7,0_14,Northeastern,0.0076095769551185,0.926955592817619,0.9909805983334184,-26
within-group,10,0_14,Western,0.05283044160902016,0.990880127102302,0.9909805983334184,-26
within-group,1,0_14,Central,0.05129902242330484,0.9986811416189983,0.9895094335540336,-25
within-group,4,0_14,Eastern,0.06814472511805238,0.9976961931115852,0.9895094335540336,-25
