stats_type,popgrp,age_group_m3,all_locations,popgrp_mass,expo_grp_mean,expo_overall_mean,fl_temp_bound
within-group,1,0_14,1,0.27686857948860366,0.9999999557969188,0.999999967965346,-40
within-group,1,0_14,1,0.27686857948860366,0.9999999557969188,0.999999967965346,-39
within-group,1,0_14,1,0.27686857948860366,0.999999911507272,0.9999999337919602,-38
within-group,1,0_14,1,0.27686857948860366,0.9999998619109278,0.9999998932752878,-37
within-group,1,0_14,1,0.27686857948860366,0.9999996737854084,0.9999997219368668,-36
within-group,1,0_14,1,0.27686857948860366,0.9999988461508228,0.9999989725666432,-35
within-group,1,0_14,1,0.27686857948860366,0.9999972515023964,0.9999974259827712,-34
within-group,1,0_14,1,0.27686857948860366,0.9999951368107046,0.9999954268042518,-33
within-group,1,0_14,1,0.27686857948860366,0.999991987002374,0.9999925282826544,-32
within-group,1,0_14,1,0.27686857948860366,0.9999865664105172,0.9999874713014968,-31
within-group,1,0_14,1,0.27686857948860366,0.9999791524419304,0.9999806016998988,-30
within-group,1,0_14,1,0.27686857948860366,0.9999696520886456,0.9999718954740752,-29
within-group,1,0_14,1,0.27686857948860366,0.9999539617698382,0.999957500662466,-28
within-group,1,0_14,1,0.27686857948860366,0.9999336043753078,0.9999390151589704,-27
within-group,1,0_14,1,0.27686857948860366,0.99990445159771,0.9999124936230922,-26
within-group,1,0_14,1,0.27686857948860366,0.999865912279668,0.9998772812423746,-25
within-group,1,0_14,1,0.27686857948860366,0.999817743837816,0.9998326208060544,-24
within-group,1,0_14,1,0.27686857948860366,0.9997518293534584,0.999770330686859,-23
within-group,1,0_14,1,0.27686857948860366,0.9996623845262744,0.9996837884945288,-22
within-group,1,0_14,1,0.27686857948860366,0.9995559141795364,0.9995821297305292,-21
within-group,1,0_14,1,0.27686857948860366,0.9994204255114216,0.9994516263878322,-20
within-group,1,0_14,1,0.27686857948860366,0.999242758529624,0.9992791517653034,-19
within-group,1,0_14,1,0.27686857948860366,0.9990000719334396,0.9990407672899484,-18
within-group,1,0_14,1,0.27686857948860366,0.9987003341726052,0.9987454928591284,-17
within-group,1,0_14,1,0.27686857948860366,0.9983140929841012,0.9983607122267704,-16
within-group,1,0_14,1,0.27686857948860366,0.9978178399662406,0.9978642309062415,-15
within-group,1,0_14,1,0.27686857948860366,0.9972006207284296,0.9972437355630293,-14
