stats_type,popgrp,age_group_m3,all_locations,popgrp_mass,expo_grp_mean,expo_overall_mean,fl_temp_bound
within-group,1,0_14,1,0.27686857948860366,0.9990746404165386,0.9990340711049556,-40
within-group,1,0_14,1,0.27686857948860366,0.9987640256098604,0.998710583358364,-39
within-group,1,0_14,1,0.27686857948860366,0.9983947977623726,0.9983271809102904,-38
within-group,1,0_14,1,0.27686857948860366,0.99794741194856,0.9978616941344132,-37
within-group,1,0_14,1,0.27686857948860366,0.9974204236941726,0.997312821796033,-36
within-group,1,0_14,1,0.27686857948860366,0.9967988126900384,0.996665021457849,-35
within-group,1,0_14,1,0.27686857948860366,0.9960922008899858,0.9959291403587892,-34
within-group,1,0_14,1,0.27686857948860366,0.9953116445657892,0.9951195567209288,-33
within-group,1,0_14,1,0.27686857948860366,0.9944172718835512,0.9941891097254284,-32
within-group,1,0_14,1,0.27686857948860366,0.9934401426406924,0.9931716171095236,-31
within-group,1,0_14,1,0.27686857948860366,0.9923687771916014,0.9920599824437052,-30
within-group,1,0_14,1,0.27686857948860366,0.9911738617616312,0.990816527537343,-29
within-group,1,0_14,1,0.27686857948860366,0.989869542510281,0.9894652457364418,-28
within-group,1,0_14,1,0.27686857948860366,0.988408790260903,0.9879553512354686,-27
within-group,1,0_14,1,0.27686857948860366,0.986856590551154,0.986360099429862,-26
within-group,1,0_14,1,0.27686857948860366,0.9851734289890676,0.9846345763200276,-25
within-group,1,0_14,1,0.27686857948860366,0.983349083212104,0.9827728204803828,-24
within-group,1,0_14,1,0.27686857948860366,0.9813614384209336,0.9807462829093898,-23
within-group,1,0_14,1,0.27686857948860366,0.9792130965345928,0.978561898032866,-22
within-group,1,0_14,1,0.27686857948860366,0.9768510640767764,0.9761587929343336,-21
within-group,1,0_14,1,0.27686857948860366,0.9742407195853088,0.9735079166212562,-20
within-group,1,0_14,1,0.27686857948860366,0.9714093169039726,0.9706441924950544,-19
within-group,1,0_14,1,0.27686857948860366,0.9682988538341596,0.967506171457791,-18
within-group,1,0_14,1,0.27686857948860366,0.9648101590197196,0.9639876303297086,-17
within-group,1,0_14,1,0.27686857948860366,0.96086572798447,0.9600095141259544,-16
within-group,1,0_14,1,0.27686857948860366,0.9563927015242348,0.9555035599107492,-15
within-group,1,0_14,1,0.27686857948860366,0.9513425169494962,0.9504168198238891,-14
within-group,1,0_14,1,0.27686857948860366,0.9457630084196192,0.9447913835112464,-13
within-group,1,0_14,1,0.27686857948860366,0.93967045983647,0.9386356641794102,-12
within-group,1,0_14,1,0.27686857948860366,0.9331369394489296,0.932015922160736,-11
within-group,1,0_14,1,0.27686857948860366,0.9262527089744728,0.9250269955910464,-10
within-group,1,0_14,1,0.27686857948860366,0.9188357741056072,0.9174850979933316,-9
within-group,1,0_14,1,0.27686857948860366,0.9108449653404967,0.9093818625701292,-8
within-group,1,0_14,1,0.27686857948860366,0.9020950481467772,0.9005121225161897,-7
within-group,1,0_14,1,0.27686857948860366,0.8926166921895297,0.8908978289591352,-6
within-group,1,0_14,1,0.27686857948860366,0.882226592405416,0.8803507503332447,-5
within-group,1,0_14,1,0.27686857948860366,0.8709846178155451,0.8689234069816328,-4
within-group,1,0_14,1,0.27686857948860366,0.858782202785915,0.8565189033043905,-3
within-group,1,0_14,1,0.27686857948860366,0.845576392116062,0.8431419696233047,-2
within-group,1,0_14,1,0.27686857948860366,0.8315713653464302,0.8289763618087593,-1
within-group,1,0_14,1,0.27686857948860366,0.8167152655241793,0.8139459965739974,0
within-group,1,0_14,1,0.27686857948860366,0.8009784832801605,0.7980492323796355,1
within-group,1,0_14,1,0.27686857948860366,0.7844491195221588,0.7813477805575141,2
within-group,1,0_14,1,0.27686857948860366,0.7670021445939167,0.763718897876106,3
within-group,1,0_14,1,0.27686857948860366,0.7488304206701064,0.7453940288051579,4
within-group,1,0_14,1,0.27686857948860366,0.729904939807125,0.7263213397735674,5
within-group,1,0_14,1,0.27686857948860366,0.7102735316516801,0.7065560179178567,6
within-group,1,0_14,1,0.27686857948860366,0.690096850920892,0.6862469398316688,7
within-group,1,0_14,1,0.27686857948860366,0.6691719372768121,0.6651962231595825,8
within-group,1,0_14,1,0.27686857948860366,0.6473914417684614,0.6432974162537898,9
within-group,1,0_14,1,0.27686857948860366,0.6250415930357843,0.6208516671812294,10
within-group,1,0_14,1,0.27686857948860366,0.6019297762026455,0.5976910924769908,11
within-group,1,0_14,1,0.27686857948860366,0.5779829187777495,0.5737287942676458,12
within-group,1,0_14,1,0.27686857948860366,0.5533327610136747,0.5491034326302318,13
within-group,1,0_14,1,0.27686857948860366,0.5282519075456713,0.5240629204565249,14
within-group,1,0_14,1,0.27686857948860366,0.5029339209930859,0.4988127017535884,15
within-group,1,0_14,1,0.27686857948860366,0.4769754994227728,0.47293454735999846,16
within-group,1,0_14,1,0.27686857948860366,0.45055513143616127,0.44658290567883285,17
within-group,1,0_14,1,0.27686857948860366,0.4237032466533083,0.4198058529177358,18
within-group,1,0_14,1,0.27686857948860366,0.39677698247838405,0.39300629190804526,19
within-group,1,0_14,1,0.27686857948860366,0.36969020489999777,0.36604295758036426,20
within-group,1,0_14,1,0.27686857948860366,0.34251425649809064,0.3390460609533647,21
within-group,1,0_14,1,0.27686857948860366,0.3150080427478408,0.3116998361511874,22
within-group,1,0_14,1,0.27686857948860366,0.2874040737070721,0.28430177263030293,23
within-group,1,0_14,1,0.27686857948860366,0.2592493052789995,0.25641638505365,24
within-group,1,0_14,1,0.27686857948860366,0.23026217091502296,0.2277733306534649,25
within-group,1,0_14,1,0.27686857948860366,0.20088737799425796,0.19879460579513095,26
within-group,1,0_14,1,0.27686857948860366,0.1722183785600195,0.17062961578962388,27
within-group,1,0_14,1,0.27686857948860366,0.14605952455053606,0.14486142409505376,28
within-group,1,0_14,1,0.27686857948860366,0.12331510490892102,0.12238604383539102,29
within-group,1,0_14,1,0.27686857948860366,0.10391795340230506,0.10318720939901056,30
within-group,1,0_14,1,0.27686857948860366,0.08705746026101421,0.08646424188664255,31
within-group,1,0_14,1,0.27686857948860366,0.07200129087035216,0.07157091320478866,32
within-group,1,0_14,1,0.27686857948860366,0.0581461131956325,0.05788840318630189,33
within-group,1,0_14,1,0.27686857948860366,0.04561582581561733,0.04552989621173518,34
within-group,1,0_14,1,0.27686857948860366,0.03446601779669701,0.03453185730481715,35
within-group,1,0_14,1,0.27686857948860366,0.02481633774821007,0.02496968170492857,36
within-group,1,0_14,1,0.27686857948860366,0.01677409124047571,0.01697874393423482,37
within-group,1,0_14,1,0.27686857948860366,0.01047424922122666,0.01068383901868353,38
within-group,1,0_14,1,0.27686857948860366,0.00587109796759378,0.00604600545630826,39
within-group,1,0_14,1,0.27686857948860366,0.00293448656319927,0.00305053779369352,40
