stats_type,popgrp,age_group_m3,all_locations,popgrp_mass,expo_grp_mean,expo_overall_mean,fl_temp_bound
within-group,1,0_14,1,0.1798837661054959,0.9995032800992564,0.9992324773235258,-40
within-group,1,0_14,1,0.1798837661054959,0.9993368202129348,0.9989777021535772,-39
within-group,1,0_14,1,0.1798837661054959,0.999133370802204,0.9986708778117276,-38
within-group,1,0_14,1,0.1798837661054959,0.9988845161080752,0.9983021231040264,-37
within-group,1,0_14,1,0.1798837661054959,0.998585292517768,0.9978638547336346,-36
within-group,1,0_14,1,0.1798837661054959,0.9982337232691888,0.9973562512796068,-35
within-group,1,0_14,1,0.1798837661054959,0.9978197664118006,0.9967704799163306,-34
within-group,1,0_14,1,0.1798837661054959,0.9973381370598412,0.996102175939236,-33
within-group,1,0_14,1,0.1798837661054959,0.9967792538759596,0.9953433715271506,-32
within-group,1,0_14,1,0.1798837661054959,0.9961394139068008,0.994490490496612,-31
within-group,1,0_14,1,0.1798837661054959,0.9954169041026903,0.993553709941984,-30
within-group,1,0_14,1,0.1798837661054959,0.994586566360768,0.9925000262227088,-29
within-group,1,0_14,1,0.1798837661054959,0.9936557980043796,0.9913428793312422,-28
within-group,1,0_14,1,0.1798837661054959,0.9925679672500785,0.9900249043564748,-27
within-group,1,0_14,1,0.1798837661054959,0.9913679393616596,0.9885985238232808,-26
within-group,1,0_14,1,0.1798837661054959,0.9900455125911048,0.9870451549713752,-25
within-group,1,0_14,1,0.1798837661054959,0.988587651214901,0.985358059844133,-24
within-group,1,0_14,1,0.1798837661054959,0.9869613565838756,0.983490108885934,-23
within-group,1,0_14,1,0.1798837661054959,0.985168867571003,0.9814628882713948,-22
within-group,1,0_14,1,0.1798837661054959,0.9831632443301852,0.9792188889711686,-21
within-group,1,0_14,1,0.1798837661054959,0.980937635221454,0.9767511564969876,-20
within-group,1,0_14,1,0.1798837661054959,0.978476198761627,0.9740520460952808,-19
within-group,1,0_14,1,0.1798837661054959,0.9757461388569127,0.9710971896169098,-18
within-group,1,0_14,1,0.1798837661054959,0.9726676709002726,0.967785810969184,-17
within-group,1,0_14,1,0.1798837661054959,0.9691247952931814,0.9640098175630296,-16
within-group,1,0_14,1,0.1798837661054959,0.9650646230974416,0.9597210001677576,-15
within-group,1,0_14,1,0.1798837661054959,0.960447059485066,0.9548811296802746,-14
within-group,1,0_14,1,0.1798837661054959,0.9552980490028464,0.9495041704170492,-13
within-group,1,0_14,1,0.1798837661054959,0.9496086820062828,0.9435821400727944,-12
within-group,1,0_14,1,0.1798837661054959,0.9435228072735876,0.9372707178710632,-11
within-group,1,0_14,1,0.1798837661054959,0.9370800655786774,0.9305662624165963,-10
within-group,1,0_14,1,0.1798837661054959,0.9301682339787232,0.9233792145287882,-9
within-group,1,0_14,1,0.1798837661054959,0.9226906366732204,0.9156429224012343,-8
within-group,1,0_14,1,0.1798837661054959,0.91449132431108,0.9071941511138972,-7
within-group,1,0_14,1,0.1798837661054959,0.905576003631468,0.8980118029203397,-6
within-group,1,0_14,1,0.1798837661054959,0.8957557419400983,0.8878942087582743,-5
within-group,1,0_14,1,0.1798837661054959,0.8851038364945943,0.876903554215515,-4
within-group,1,0_14,1,0.1798837661054959,0.8734907951311541,0.8649643080990086,-3
within-group,1,0_14,1,0.1798837661054959,0.8608856598524722,0.8520857791247962,-2
within-group,1,0_14,1,0.1798837661054959,0.8474562259833365,0.8384403649394886,-1
within-group,1,0_14,1,0.1798837661054959,0.8331489332668633,0.8239083492049428,0
within-group,1,0_14,1,0.1798837661054959,0.817915753587484,0.8084784449700082,1
within-group,1,0_14,1,0.1798837661054959,0.8019011244248183,0.7922831061280051,2
within-group,1,0_14,1,0.1798837661054959,0.784954825285752,0.7751890891404829,3
within-group,1,0_14,1,0.1798837661054959,0.7672289935434567,0.7573294833719141,4
within-group,1,0_14,1,0.1798837661054959,0.7487075822200869,0.7387191403213276,5
within-group,1,0_14,1,0.1798837661054959,0.7294514109414987,0.7194072977224283,6
within-group,1,0_14,1,0.1798837661054959,0.7096056781728826,0.6995267474935375,7
within-group,1,0_14,1,0.1798837661054959,0.6890968730878563,0.6790010631304688,8
within-group,1,0_14,1,0.1798837661054959,0.667639451560444,0.6575526857826961,9
within-group,1,0_14,1,0.1798837661054959,0.6455404913900272,0.6354604056890345,10
within-group,1,0_14,1,0.1798837661054959,0.6226098223606956,0.6125527211913532,11
within-group,1,0_14,1,0.1798837661054959,0.5986504149056487,0.5886664068845973,12
within-group,1,0_14,1,0.1798837661054959,0.5739586345296152,0.5641359312225974,13
within-group,1,0_14,1,0.1798837661054959,0.5486815168682464,0.5390280164890149,14
within-group,1,0_14,1,0.1798837661054959,0.5230294066744863,0.5135057655182328,15
within-group,1,0_14,1,0.1798837661054959,0.4967197627740665,0.48735659933004777,16
within-group,1,0_14,1,0.1798837661054959,0.4700611694405588,0.4608357743157088,17
within-group,1,0_14,1,0.1798837661054959,0.44294188180277655,0.4339372675456862,18
within-group,1,0_14,1,0.1798837661054959,0.41580340275557853,0.4070902437938921,19
within-group,1,0_14,1,0.1798837661054959,0.3884788163260806,0.38007228703044355,20
within-group,1,0_14,1,0.1798837661054959,0.36081703589145486,0.352731110260508,21
within-group,1,0_14,1,0.1798837661054959,0.33268640159657287,0.3249485226420074,22
within-group,1,0_14,1,0.1798837661054959,0.3042695752100798,0.2969506144827859,23
within-group,1,0_14,1,0.1798837661054959,0.2752960670682026,0.2685622977457078,24
within-group,1,0_14,1,0.1798837661054959,0.2452383230410379,0.23922810017101748,25
within-group,1,0_14,1,0.1798837661054959,0.2144345262804941,0.20919303588334703,26
within-group,1,0_14,1,0.1798837661054959,0.1839929981620324,0.1797142724725477,27
within-group,1,0_14,1,0.1798837661054959,0.15584971054800895,0.15225299184092853,28
within-group,1,0_14,1,0.1798837661054959,0.13140760353314207,0.1282698692280532,29
within-group,1,0_14,1,0.1798837661054959,0.11080625116946244,0.10799067717414318,30
within-group,1,0_14,1,0.1798837661054959,0.09306007841354856,0.09050034277796508,31
within-group,1,0_14,1,0.1798837661054959,0.07712961285168238,0.07490243316797868,32
within-group,1,0_14,1,0.1798837661054959,0.06241194475061389,0.06060173405094935,33
within-group,1,0_14,1,0.1798837661054959,0.04894563789104442,0.0475776258445357,34
within-group,1,0_14,1,0.1798837661054959,0.03691720515852061,0.0360103027671777,35
within-group,1,0_14,1,0.1798837661054959,0.02650021622186194,0.02597399181743737,36
within-group,1,0_14,1,0.1798837661054959,0.0178014114386615,0.01758876744390586,37
within-group,1,0_14,1,0.1798837661054959,0.01107116458711641,0.01106044594198161,38
within-group,1,0_14,1,0.1798837661054959,0.00618854391191923,0.00627501564162922,39
within-group,1,0_14,1,0.1798837661054959,0.00308482010319499,0.00316620655888757,40
