stats_type,popgrp,age_group_m3,region_name,popgrp_mass,expo_grp_mean,expo_overall_mean,fl_temp_bound
within-group,1,0_14,Central,0.05129902242330484,0.9999635495316106,0.9998100458350576,-40
within-group,4,0_14,Eastern,0.06814472511805238,0.9999404771603492,0.9998100458350576,-40
within-group,7,0_14,Northeastern,0.0076095769551185,0.9991695909567312,0.9998100458350576,-40
within-group,10,0_14,Western,0.05283044160902016,0.9997445116056262,0.9998100458350576,-40
within-group,1,0_14,Central,0.05129902242330484,0.999948206827099,0.999730687592375,-39
within-group,4,0_14,Eastern,0.06814472511805238,0.9999235714678208,0.999730687592375,-39
within-group,7,0_14,Northeastern,0.0076095769551185,0.9986733796903496,0.999730687592375,-39
within-group,10,0_14,Western,0.05283044160902016,0.999652149079174,0.999730687592375,-39
within-group,1,0_14,Central,0.05129902242330484,0.9999266592718364,0.9996220953836596,-38
within-group,4,0_14,Eastern,0.06814472511805238,0.9998928519682274,0.9996220953836596,-38
within-group,7,0_14,Northeastern,0.0076095769551185,0.998009718747426,0.9996220953836596,-38
within-group,10,0_14,Western,0.05283044160902016,0.9995270935181412,0.9996220953836596,-38
within-group,1,0_14,Central,0.05129902242330484,0.9999039172911832,0.9994722937780092,-37
within-group,4,0_14,Eastern,0.06814472511805238,0.9998561007110344,0.9994722937780092,-37
within-group,7,0_14,Northeastern,0.0076095769551185,0.996946418852476,0.9994722937780092,-37
within-group,10,0_14,Western,0.05283044160902016,0.999366250699573,0.9994722937780092,-37
within-group,1,0_14,Central,0.05129902242330484,0.9998775813614,0.999260142491746,-36
within-group,4,0_14,Eastern,0.06814472511805238,0.9997985181152312,0.999260142491746,-36
within-group,7,0_14,Northeastern,0.0076095769551185,0.9953308214030044,0.999260142491746,-36
within-group,10,0_14,Western,0.05283044160902016,0.9991583048193164,0.999260142491746,-36
within-group,1,0_14,Central,0.05129902242330484,0.9998492839969852,0.99900103165787,-35
within-group,4,0_14,Eastern,0.06814472511805238,0.9997417580176506,0.99900103165787,-35
within-group,7,0_14,Northeastern,0.0076095769551185,0.993245576089406,0.99900103165787,-35
within-group,10,0_14,Western,0.05283044160902016,0.998903053815706,0.99900103165787,-35
within-group,1,0_14,Central,0.05129902242330484,0.9998137190982428,0.9986685436905728,-34
within-group,4,0_14,Eastern,0.06814472511805238,0.9996600662473516,0.9986685436905728,-34
within-group,7,0_14,Northeastern,0.0076095769551185,0.9905477283711892,0.9986685436905728,-34
within-group,10,0_14,Western,0.05283044160902016,0.9985896564805504,0.9986685436905728,-34
within-group,1,0_14,Central,0.05129902242330484,0.9997680356139708,0.9982545879132144,-33
within-group,4,0_14,Eastern,0.06814472511805238,0.99958313510719,0.9982545879132144,-33
within-group,7,0_14,Northeastern,0.0076095769551185,0.987092485485986,0.9982545879132144,-33
within-group,10,0_14,Western,0.05283044160902016,0.9981869446237168,0.9982545879132144,-33
within-group,1,0_14,Central,0.05129902242330484,0.9997063000444584,0.9977345025569956,-32
within-group,4,0_14,Eastern,0.06814472511805238,0.9994788733278628,0.9977345025569956,-32
within-group,7,0_14,Northeastern,0.0076095769551185,0.9827888849575332,0.9977345025569956,-32
within-group,10,0_14,Western,0.05283044160902016,0.9976900036724204,0.9977345025569956,-32
within-group,1,0_14,Central,0.05129902242330484,0.9996480373471898,0.9971050882125146,-31
within-group,4,0_14,Eastern,0.06814472511805238,0.999362708824708,0.9971050882125146,-31
within-group,7,0_14,Northeastern,0.0076095769551185,0.9774557707588252,0.9971050882125146,-31
within-group,10,0_14,Western,0.05283044160902016,0.9970689845080076,0.9971050882125146,-31
within-group,1,0_14,Central,0.05129902242330484,0.999571595689567,0.9963749954964856,-30
within-group,4,0_14,Eastern,0.06814472511805238,0.9992241602907528,0.9963749954964856,-30
within-group,7,0_14,Northeastern,0.0076095769551185,0.97138799135117,0.9963749954964856,-30
within-group,10,0_14,Western,0.05283044160902016,0.9963293002807834,0.9963749954964856,-30
within-group,1,0_14,Central,0.05129902242330484,0.9994616336983878,0.9955143863822556,-29
within-group,4,0_14,Eastern,0.06814472511805238,0.9990664939186736,0.9955143863822556,-29
within-group,7,0_14,Northeastern,0.0076095769551185,0.9643093708378638,0.9955143863822556,-29
within-group,10,0_14,Western,0.05283044160902016,0.9954439836947572,0.9955143863822556,-29
within-group,1,0_14,Central,0.05129902242330484,0.9993316748945,0.9945033196577816,-28
within-group,4,0_14,Eastern,0.06814472511805238,0.9988536917800026,0.9945033196577816,-28
within-group,7,0_14,Northeastern,0.0076095769551185,0.9561134871878632,0.9945033196577816,-28
within-group,10,0_14,Western,0.05283044160902016,0.9944166293218492,0.9945033196577816,-28
within-group,1,0_14,Central,0.05129902242330484,0.9991641460295873,0.9933462600206304,-27
within-group,4,0_14,Eastern,0.06814472511805238,0.9985922694450802,0.9933462600206304,-27
within-group,7,0_14,Northeastern,0.0076095769551185,0.9469211747867576,0.9933462600206304,-27
within-group,10,0_14,Western,0.05283044160902016,0.9932205976909636,0.9933462600206304,-27
within-group,1,0_14,Central,0.05129902242330484,0.9989545099868726,0.9920209966773268,-26
within-group,4,0_14,Eastern,0.06814472511805238,0.998278411193449,0.9920209966773268,-26
within-group,7,0_14,Northeastern,0.0076095769551185,0.9365729652912324,0.9920209966773268,-26
within-group,10,0_14,Western,0.05283044160902016,0.9918340566565256,0.9920209966773268,-26
within-group,1,0_14,Central,0.05129902242330484,0.9987012880445878,0.990547444428994,-25
within-group,4,0_14,Eastern,0.06814472511805238,0.9978986296884924,0.990547444428994,-25
within-group,7,0_14,Northeastern,0.0076095769551185,0.925443249170536,0.990547444428994,-25
within-group,10,0_14,Western,0.05283044160902016,0.990265114269765,0.990547444428994,-25
within-group,1,0_14,Central,0.05129902242330484,0.9984143094043236,0.9889489508549988,-24
within-group,4,0_14,Eastern,0.06814472511805238,0.9974260344118324,0.9889489508549988,-24
within-group,7,0_14,Northeastern,0.0076095769551185,0.9138780594512024,0.9889489508549988,-24
within-group,10,0_14,Western,0.05283044160902016,0.9885341519346538,0.9889489508549988,-24
within-group,1,0_14,Central,0.05129902242330484,0.9980897486891316,0.9871971275991588,-23
within-group,4,0_14,Eastern,0.06814472511805238,0.9968459759437042,0.9871971275991588,-23
within-group,7,0_14,Northeastern,0.0076095769551185,0.9018614868720488,0.9871971275991588,-23
within-group,10,0_14,Western,0.05283044160902016,0.986564485205403,0.9871971275991588,-23
within-group,1,0_14,Central,0.05129902242330484,0.9976800846007744,0.9852939161978536,-22
within-group,4,0_14,Eastern,0.06814472511805238,0.9961369615203274,0.9852939161978536,-22
within-group,7,0_14,Northeastern,0.0076095769551185,0.8895044653382765,0.9852939161978536,-22
within-group,10,0_14,Western,0.05283044160902016,0.9844070780483004,0.9852939161978536,-22
within-group,1,0_14,Central,0.05129902242330484,0.9971737547093688,0.9832214555136626,-21
within-group,4,0_14,Eastern,0.06814472511805238,0.995278775523439,0.9832214555136626,-21
within-group,7,0_14,Northeastern,0.0076095769551185,0.8766963377362197,0.9832214555136626,-21
within-group,10,0_14,Western,0.05283044160902016,0.982055276278698,0.9832214555136626,-21
within-group,1,0_14,Central,0.05129902242330484,0.9965064970345509,0.9809495374504674,-20
within-group,4,0_14,Eastern,0.06814472511805238,0.9942795455825156,0.9809495374504674,-20
within-group,7,0_14,Northeastern,0.0076095769551185,0.8636159234903481,0.9809495374504674,-20
within-group,10,0_14,Western,0.05283044160902016,0.9794035054744192,0.9809495374504674,-20
within-group,1,0_14,Central,0.05129902242330484,0.9956768085954938,0.9784730587133902,-19
within-group,4,0_14,Eastern,0.06814472511805238,0.9930415972385912,0.9784730587133902,-19
within-group,7,0_14,Northeastern,0.0076095769551185,0.850694151673549,0.9784730587133902,-19
within-group,10,0_14,Western,0.05283044160902016,0.9764610119709992,0.9784730587133902,-19
within-group,1,0_14,Central,0.05129902242330484,0.994610501385992,0.9757102465468,-18
within-group,4,0_14,Eastern,0.06814472511805238,0.9915272725378732,0.9757102465468,-18
within-group,7,0_14,Northeastern,0.0076095769551185,0.8371811175197786,0.9757102465468,-18
within-group,10,0_14,Western,0.05283044160902016,0.9733005579390424,0.9757102465468,-18
within-group,1,0_14,Central,0.05129902242330484,0.9933096912773816,0.9725874926493588,-17
within-group,4,0_14,Eastern,0.06814472511805238,0.9895823793566751,0.9725874926493588,-17
within-group,7,0_14,Northeastern,0.0076095769551185,0.82305292883236,0.9725874926493588,-17
within-group,10,0_14,Western,0.05283044160902016,0.9698309013704935,0.9725874926493588,-17
within-group,1,0_14,Central,0.05129902242330484,0.9916767214184016,0.9690206671245436,-16
within-group,4,0_14,Eastern,0.06814472511805238,0.9871035692347888,0.9690206671245436,-16
within-group,7,0_14,Northeastern,0.0076095769551185,0.8080022085411703,0.9690206671245436,-16
within-group,10,0_14,Western,0.05283044160902016,0.9660602165789124,0.9690206671245436,-16
within-group,1,0_14,Central,0.05129902242330484,0.9897141736547256,0.964984498145508,-15
within-group,4,0_14,Eastern,0.06814472511805238,0.9839229256116432,0.964984498145508,-15
within-group,7,0_14,Northeastern,0.0076095769551185,0.7925504331975142,0.964984498145508,-15
within-group,10,0_14,Western,0.05283044160902016,0.9619811712437392,0.964984498145508,-15
within-group,1,0_14,Central,0.05129902242330484,0.9872763480952688,0.9604038781310996,-14
within-group,4,0_14,Eastern,0.06814472511805238,0.9799021668258792,0.9604038781310996,-14
within-group,7,0_14,Northeastern,0.0076095769551185,0.7764459822015146,0.9604038781310996,-14
within-group,10,0_14,Western,0.05283044160902016,0.957666697140508,0.9604038781310996,-14
within-group,1,0_14,Central,0.05129902242330484,0.9842599821770186,0.9552021906294942,-13
within-group,4,0_14,Eastern,0.06814472511805238,0.9748766259158236,0.9552021906294942,-13
within-group,7,0_14,Northeastern,0.0076095769551185,0.7601593079391176,0.9552021906294942,-13
within-group,10,0_14,Western,0.05283044160902016,0.9530778427137376,0.9552021906294942,-13
within-group,1,0_14,Central,0.05129902242330484,0.9804508959667044,0.9494411076277758,-12
within-group,4,0_14,Eastern,0.06814472511805238,0.9690537728077124,0.9494411076277758,-12
within-group,7,0_14,Northeastern,0.0076095769551185,0.7438651803011248,0.9494411076277758,-12
within-group,10,0_14,Western,0.05283044160902016,0.9482034492190692,0.9494411076277758,-12
within-group,1,0_14,Central,0.05129902242330484,0.9756882506795072,0.9431996274836656,-11
within-group,4,0_14,Eastern,0.06814472511805238,0.9626832553716936,0.9431996274836656,-11
within-group,7,0_14,Northeastern,0.0076095769551185,0.7275775637111648,0.9431996274836656,-11
within-group,10,0_14,Western,0.05283044160902016,0.9431817616364933,0.9431996274836656,-11
within-group,1,0_14,Central,0.05129902242330484,0.9702330493530588,0.9365709554165856,-10
within-group,4,0_14,Eastern,0.06814472511805238,0.9559512185044814,0.9365709554165856,-10
within-group,7,0_14,Northeastern,0.0076095769551185,0.7111785829858001,0.9365709554165856,-10
within-group,10,0_14,Western,0.05283044160902016,0.937886793568404,0.9365709554165856,-10
within-group,1,0_14,Central,0.05129902242330484,0.9637400501921388,0.92939094912472,-9
within-group,4,0_14,Eastern,0.06814472511805238,0.948767170950478,0.92939094912472,-9
within-group,7,0_14,Northeastern,0.0076095769551185,0.6945070968639412,0.92939094912472,-9
within-group,10,0_14,Western,0.05283044160902016,0.932297107984075,0.92939094912472,-9
within-group,1,0_14,Central,0.05129902242330484,0.9561031453028258,0.9216392175425012,-8
within-group,4,0_14,Eastern,0.06814472511805238,0.9411385469003036,0.9216392175425012,-8
within-group,7,0_14,Northeastern,0.0076095769551185,0.6778062567004403,0.9216392175425012,-8
within-group,10,0_14,Western,0.05283044160902016,0.9263772100703086,0.9216392175425012,-8
within-group,1,0_14,Central,0.05129902242330484,0.9471504707990832,0.9131977597430312,-7
within-group,4,0_14,Eastern,0.06814472511805238,0.9329534771346114,0.9131977597430312,-7
within-group,7,0_14,Northeastern,0.0076095769551185,0.661585486808935,0.9131977597430312,-7
within-group,10,0_14,Western,0.05283044160902016,0.919967960664436,0.9131977597430312,-7
within-group,1,0_14,Central,0.05129902242330484,0.936879416805474,0.9038917352502476,-6
within-group,4,0_14,Eastern,0.06814472511805238,0.9239062345226382,0.9038917352502476,-6
within-group,7,0_14,Northeastern,0.0076095769551185,0.6456010626995214,0.9038917352502476,-6
within-group,10,0_14,Western,0.05283044160902016,0.9129197136535618,0.9038917352502476,-6
