utci_thres,year_1990_time_2G_apr2sep,year_2020_time_2G_apr2sep,cdf_percpoint_chg_time_2G_apr2sep,cdf_percent_chg_time_2G_apr2sep,year_1990_time_3G_oct2mar,year_2020_time_3G_oct2mar,cdf_percpoint_chg_time_3G_oct2mar,cdf_percent_chg_time_3G_oct2mar
-40,0.9999999557969188,0.9999996824721242,-2.7332479457520265e-7,-2.7332480665700124e-7,0.9981442408857168,0.9997133185127308,0.0015690776270139706,0.001571994870823107
-39,0.9999999557969188,0.9999995421566183,-4.1364030045620837e-7,-4.1364031874038497e-7,0.997521304597598,0.9995953420314658,0.0020740374338678036,0.0020791911153260774
-38,0.999999911507272,0.9999992909714842,-6.205357877542284e-7,-6.205358426671379e-7,0.9967808647111824,0.9994299712891608,0.002649106577978344,0.002657661951351688
-37,0.9999998619109278,0.9999988710124031,-9.90898524677597e-7,-9.908986615098738e-7,0.9958836847885968,0.9992045214364308,0.0033208366478340023,0.003334562759243254
-36,0.9999996737854084,0.9999983354703073,-1.3383151011847616e-6,-1.338315537762818e-6,0.9948270018991388,0.9988867066709424,0.004059704771803618,0.004080814819112856
-35,0.9999988461508228,0.999997726827789,-1.119323033815789e-6,-1.1193243253472408e-6,0.9935811966278214,0.9985007619286445,0.004919565300823048,0.004951347023796218
-34,0.9999972515023964,0.999996797854026,-4.5364837042427553e-7,-4.536496172791615e-7,0.9921656939555292,0.9980058213685106,0.005840127412981344,0.005886242034531693
-33,0.9999951368107046,0.9999952995397152,1.6272901059988243e-7,1.627298019857135e-7,0.9906024188470006,0.997392421128615,0.006790002281614416,0.006854417223730944
-32,0.999991987002374,0.999993064150412,1.0771480379867526e-6,1.077156669240586e-6,0.9888119264618774,0.9966223437727078,0.00781041731083032,0.007898789549168572
-31,0.9999865664105172,0.9999902353603672,3.6689498500441786e-6,3.6689991378724097e-6,0.986857749509495,0.9956853827838442,0.008827633274349211,0.008945193244656459
-30,0.9999791524419304,0.9999855178241044,6.365382174022827e-6,6.36551487946392e-6,0.9847165866926444,0.9945906970702992,0.009874110377654843,0.010027362706277649
-29,0.9999696520886456,0.9999780746031256,8.422514479966559e-6,8.422770093446712e-6,0.9823297429163362,0.9932935216331424,0.010963778716806205,0.011160996392369213
-28,0.9999539617698382,0.9999662818828112,1.2320112973029929e-5,1.2320680195340511e-5,0.9797297143536932,0.9917689481548612,0.012039233801168003,0.01228832158990914
