daily_time,utci_thres,year_1990,year_2020,cdf_percpoint_chg,cdf_percent_chg
0G_24,-40,0.9990746404165386,0.999856892771824,7.822523552853955e-4,7.829768904546064e-4
0G_24,-39,0.9987640256098604,0.9997979957928438,0.0010339701829833459,0.001035249725131007
0G_24,-38,0.9983947977623726,0.9997154110202984,0.0013206132579257623,0.0013227365175435147
0G_24,-37,0.99794741194856,0.9996027843745212,0.0016553724259612546,0.001658777212247114
0G_24,-36,0.9974204236941726,0.999444043849802,0.002023620155629402,0.002028853738661643
0G_24,-35,0.9967988126900384,0.9992512950150648,0.0024524823250263728,0.002460358393092297
0G_24,-34,0.9960922008899858,0.999004036976317,0.0029118360863311654,0.002923259597584948
0G_24,-33,0.9953116445657892,0.9986974259210296,0.0033857813552403693,0.003401729873980764
0G_24,-32,0.9944172718835512,0.9983123213867348,0.003895049503183534,0.003916916583524159
0G_24,-31,0.9934401426406924,0.9978437061304296,0.00440356348973725,0.0044326409823062
0G_24,-30,0.9923687771916014,0.997295497612618,0.004926720421016606,0.004964606438907923
0G_24,-29,0.9911738617616312,0.9966449550400108,0.00547109327837958,0.005519811901269982
0G_24,-28,0.989869542510281,0.9958788442431212,0.0060093017328402,0.0060708017317118185
0G_24,-27,0.988408790260903,0.9949919097995376,0.006583119538634552,0.0066603207129479845
0G_24,-26,0.986856590551154,0.9939682544470382,0.007111663895884135,0.007206380302848572
0G_24,-25,0.9851734289890676,0.9928205661409396,0.007647137151872041,0.007762224321984735
0G_24,-24,0.983349083212104,0.9915620851253064,0.0082130019132024,0.008352071561784222
0G_24,-23,0.9813614384209336,0.9901629762750476,0.008801537854113972,0.008968701550242434
0G_24,-22,0.9792130965345928,0.9886212060231662,0.009408109488573402,0.009607826449491366
0G_24,-21,0.9768510640767764,0.9869191834191076,0.010068119342331205,0.010306708681170965
0G_24,-20,0.9742407195853088,0.9850182194526274,0.010777499867318574,0.011062460899710781
0G_24,-19,0.9714093169039726,0.9829018288969776,0.01149251199300505,0.011830761547185292
0G_24,-18,0.9682988538341596,0.980524235728548,0.012225381894388376,0.012625628798360858
0G_24,-17,0.9648101590197196,0.9777998235341714,0.012989664514451826,0.013463440857266444
0G_24,-16,0.96086572798447,0.9746509893672826,0.013785261382812553,0.01434670941144792
0G_24,-15,0.9563927015242348,0.9710347647285176,0.01464206320428274,0.01530967685235071
0G_24,-14,0.9513425169494962,0.9668679896056344,0.015525472656138128,0.01631954041738926
0G_24,-13,0.9457630084196192,0.9620672971782562,0.016304288758636987,0.017239296328455094
0G_24,-12,0.93967045983647,0.95665431898946,0.016983859152989944,0.01807427165045247
0G_24,-11,0.9331369394489296,0.9507189526442832,0.017582013195353574,0.018841836017912603
0G_24,-10,0.9262527089744728,0.944364159608332,0.018111450633859216,0.019553465764123732
0G_24,-9,0.9188357741056072,0.937444091184263,0.018608317078655734,0.020252059838189288
0G_24,-8,0.9108449653404967,0.9299311653496942,0.019086200009197474,0.020954389314829854
0G_24,-7,0.9020950481467772,0.9217088032953048,0.01961375514852759,0.021742448524488846
0G_24,-6,0.8926166921895297,0.9126061831259236,0.019989490936393906,0.022394260729497458
0G_24,-5,0.882226592405416,0.9027585660194732,0.02053197361405723,0.02327290266560229
0G_24,-4,0.8709846178155451,0.8920157147740874,0.021031096958542217,0.02414634716659959
0G_24,-3,0.858782202785915,0.8805754192693718,0.02179321648345678,0.02537688416546004
0G_24,-2,0.845576392116062,0.8684177870775595,0.022841394961497508,0.027012810639541068
0G_24,-1,0.8315713653464302,0.8554659513050503,0.02389458595862015,0.028734257761107176
0G_24,0,0.8167152655241793,0.8416297497468328,0.02491448422265352,0.0305057163424796
0G_24,1,0.8009784832801605,0.8267490540547326,0.02577057077457212,0.032173861486311954
0G_24,2,0.7844491195221588,0.810844225472489,0.026395105950330233,0.033647951528594504
0G_24,3,0.7670021445939167,0.7939081854807951,0.026906040886878424,0.03507948586131218
0G_24,4,0.7488304206701064,0.7760815367045965,0.02725111603449004,0.03639157181956339
0G_24,5,0.729904939807125,0.7573246027028994,0.027419662895774355,0.0375660738821961
0G_24,6,0.7102735316516801,0.7379359332678493,0.027662401616169285,0.038946124814538345
0G_24,7,0.690096850920892,0.7179104908049597,0.02781363988406771,0.040303965808497905
0G_24,8,0.6691719372768121,0.6974482617957376,0.028276324518925477,0.04225569385649325
0G_24,9,0.6473914417684614,0.6767034428072474,0.02931200103878595,0.04527709071765787
0G_24,10,0.6250415930357843,0.6552964719176445,0.03025487888186018,0.04840458494116256
0G_24,11,0.6019297762026455,0.6333518698763494,0.031422093673703855,0.05220225832975789
0G_24,12,0.5779829187777495,0.610414986941528,0.032432068163778416,0.05611250282683431
0G_24,13,0.5533327610136747,0.5864956191504886,0.033162858136813966,0.059932938140263854
0G_24,14,0.5282519075456713,0.5615514042003699,0.03329949665469856,0.06303715363643919
0G_24,15,0.5029339209930859,0.5358228801435067,0.03288895915042078,0.06539419549486487
0G_24,16,0.4769754994227728,0.509539046156739,0.032563546733966164,0.06827090023150871
