utci_thres,year_1990_time_0G_24,year_2020_time_0G_24,cdf_percpoint_chg_time_0G_24,cdf_percent_chg_time_0G_24,year_1990_time_1G_6t22,year_2020_time_1G_6t22,cdf_percpoint_chg_time_1G_6t22,cdf_percent_chg_time_1G_6t22
-40,0.9995056339055872,0.9997535617164114,2.479278108241667e-4,2.480504385506904e-4,0.9996852055504748,0.9998204966908684,1.352911403935675e-4,1.3533374270460437e-4
-39,0.9992996028648128,0.9996650832870668,3.6548042225403865e-4,3.657365831090814e-4,0.9995489118525962,0.999756637521485,2.0772566888882515e-4,2.0781941376317412e-4
-38,0.9990353037407396,0.9995480708321576,5.127670914180094e-4,5.132622335747586e-4,0.9993720391383446,0.9996724288843272,3.003897459825655e-4,3.0057849751486e-4
-37,0.9986895744172044,0.9993945172185348,7.049428013303771e-4,7.058677885385493e-4,0.999138205027602,0.9995599405234356,4.2173549583357506e-4,4.220992588527073e-4
-36,0.9982469793887848,0.9991978989793788,9.509195905940127e-4,9.525894996208752e-4,0.9988413469350296,0.9994162902858624,5.749433508328572e-4,5.756102834520074e-4
-35,0.997708386533826,0.9989581610802,0.0012497745463739829,0.0012526451248103354,0.9984835403009448,0.999239996500225,7.564561992802199e-4,7.576050768470581e-4
-34,0.9970632413243996,0.9986615795011698,0.001598338176770242,0.0016030459358296757,0.9980526530760884,0.9990202279735316,9.675748974432574e-4,9.694627778014559e-4
-33,0.9963127659607396,0.998295355996945,0.0019825900362053783,0.00198992736411801,0.997545809578944,0.998749112417482,0.0012033028385379785,0.0012062632382224962
-32,0.9954511783316508,0.9978484209410058,0.0023972426093550325,0.0024081970683612493,0.9969543813064556,0.9984174699842456,0.001463088677789992,0.0014675583007847282
-31,0.99447565393796,0.9973251911047984,0.002849537166838445,0.002865366442662268,0.9962786115944984,0.9980347172995871,0.001756105705088773,0.0017626652671768252
-30,0.9934033547215324,0.9967124725584202,0.0033091178368878094,0.0033310918683331914,0.9955215284140716,0.9975863662409888,0.002064837826917243,0.0020741267446085865
-29,0.9922138214519652,0.9959982511848064,0.00378442973284121,0.0038141272082898724,0.9946764364574708,0.9970605735267488,0.0023841370692779806,0.002396897103312368
