daily_time,utci_thres,cdf,pmf,year
0G_24,-40,0.9990746404165386,NA,1990
0G_24,-39,0.9987640256098604,3.1061480667815555e-4,1990
0G_24,-38,0.9983947977623726,3.6922784748782966e-4,1990
0G_24,-37,0.99794741194856,4.4738581381265075e-4,1990
0G_24,-36,0.9974204236941726,5.269882543873505e-4,1990
0G_24,-35,0.9967988126900384,6.216110041341594e-4,1990
0G_24,-34,0.9960922008899858,7.066118000526034e-4,1990
0G_24,-33,0.9953116445657892,7.805563241966018e-4,1990
0G_24,-32,0.9944172718835512,8.943726822380205e-4,1990
0G_24,-31,0.9934401426406924,9.771292428588652e-4,1990
0G_24,-30,0.9923687771916014,0.001071365449090922,1990
0G_24,-29,0.9911738617616312,0.0011949154299701892,1990
0G_24,-28,0.989869542510281,0.0013043192513502166,1990
0G_24,-27,0.988408790260903,0.0014607522493780278,1990
0G_24,-26,0.986856590551154,0.0015521997097489582,1990
0G_24,-25,0.9851734289890676,0.001683161562086477,1990
0G_24,-24,0.983349083212104,0.001824345776963554,1990
0G_24,-23,0.9813614384209336,0.0019876447911704176,1990
0G_24,-22,0.9792130965345928,0.002148341886340832,1990
0G_24,-21,0.9768510640767764,0.00236203245781641,1990
0G_24,-20,0.9742407195853088,0.0026103444914675755,1990
0G_24,-19,0.9714093169039726,0.0028314026813361926,1990
0G_24,-18,0.9682988538341596,0.0031104630698129965,1990
0G_24,-17,0.9648101590197196,0.00348869481444003,1990
0G_24,-16,0.96086572798447,0.0039444310352495515,1990
0G_24,-15,0.9563927015242348,0.004473026460235174,1990
0G_24,-14,0.9513425169494962,0.005050184574738603,1990
0G_24,-13,0.9457630084196192,0.005579508529876986,1990
0G_24,-12,0.93967045983647,0.0060925485831492265,1990
0G_24,-11,0.9331369394489296,0.0065335203875404035,1990
0G_24,-10,0.9262527089744728,0.006884230474456854,1990
0G_24,-9,0.9188357741056072,0.007416934868865521,1990
0G_24,-8,0.9108449653404967,0.007990808765110491,1990
0G_24,-7,0.9020950481467772,0.008749917193719536,1990
0G_24,-6,0.8926166921895297,0.009478355957247553,1990
0G_24,-5,0.882226592405416,0.010390099784113649,1990
0G_24,-4,0.8709846178155451,0.011241974589870862,1990
0G_24,-3,0.858782202785915,0.012202415029630154,1990
0G_24,-2,0.845576392116062,0.013205810669853046,1990
0G_24,-1,0.8315713653464302,0.014005026769631779,1990
0G_24,0,0.8167152655241793,0.01485609982225089,1990
0G_24,1,0.8009784832801605,0.015736782244018754,1990
0G_24,2,0.7844491195221588,0.016529363758001736,1990
0G_24,3,0.7670021445939167,0.0174469749282421,1990
0G_24,4,0.7488304206701064,0.01817172392381028,1990
0G_24,5,0.729904939807125,0.018925480862981403,1990
0G_24,6,0.7102735316516801,0.01963140815544495,1990
0G_24,7,0.690096850920892,0.020176680730788044,1990
0G_24,8,0.6691719372768121,0.02092491364407989,1990
0G_24,9,0.6473914417684614,0.021780495508350706,1990
0G_24,10,0.6250415930357843,0.02234984873267709,1990
0G_24,11,0.6019297762026455,0.023111816833138787,1990
0G_24,12,0.5779829187777495,0.023946857424895995,1990
0G_24,13,0.5533327610136747,0.024650157764074865,1990
0G_24,14,0.5282519075456713,0.025080853468003372,1990
0G_24,15,0.5029339209930859,0.025317986552585436,1990
0G_24,16,0.4769754994227728,0.025958421570313084,1990
0G_24,17,0.45055513143616127,0.026420367986611515,1990
0G_24,18,0.4237032466533083,0.026851884782852997,1990
0G_24,19,0.39677698247838405,0.02692626417492422,1990
0G_24,20,0.36969020489999777,0.02708677757838629,1990
0G_24,21,0.34251425649809064,0.027175948401907124,1990
0G_24,22,0.3150080427478408,0.027506213750249864,1990
0G_24,23,0.2874040737070721,0.027603969040768672,1990
0G_24,24,0.2592493052789995,0.02815476842807263,1990
0G_24,25,0.23026217091502296,0.028987134363976513,1990
0G_24,26,0.20088737799425796,0.029374792920765003,1990
0G_24,27,0.1722183785600195,0.02866899943423845,1990
0G_24,28,0.14605952455053606,0.02615885400948345,1990
0G_24,29,0.12331510490892102,0.02274441964161504,1990
0G_24,30,0.10391795340230506,0.01939715150661596,1990
0G_24,31,0.08705746026101421,0.016860493141290844,1990
0G_24,32,0.07200129087035216,0.015056169390662053,1990
0G_24,33,0.0581461131956325,0.013855177674719658,1990
0G_24,34,0.04561582581561733,0.012530287380015173,1990
0G_24,35,0.03446601779669701,0.01114980801892032,1990
0G_24,36,0.02481633774821007,0.009649680048486937,1990
0G_24,37,0.01677409124047571,0.008042246507734361,1990
0G_24,38,0.01047424922122666,0.00629984201924905,1990
0G_24,39,0.00587109796759378,0.00460315125363288,1990
0G_24,40,0.00293448656319927,0.00293661140439451,1990
0G_24,-40,0.999856892771824,NA,2020
0G_24,-39,0.9997979957928438,5.8896978980205184e-5,2020
0G_24,-38,0.9997154110202984,8.258477254541319e-5,2020
0G_24,-37,0.9996027843745212,1.1262664577715853e-4,2020
0G_24,-36,0.999444043849802,1.5874052471920308e-4,2020
0G_24,-35,0.9992512950150648,1.9274883473718862e-4,2020
0G_24,-34,0.999004036976317,2.472580387478107e-4,2020
0G_24,-33,0.9986974259210296,3.0661105528739796e-4,2020
0G_24,-32,0.9983123213867348,3.851045342948556e-4,2020
0G_24,-31,0.9978437061304296,4.6861525630514933e-4,2020
0G_24,-30,0.997295497612618,5.482085178115659e-4,2020
0G_24,-29,0.9966449550400108,6.505425726072156e-4,2020
0G_24,-28,0.9958788442431212,7.661107968895964e-4,2020
0G_24,-27,0.9949919097995376,8.869344435836757e-4,2020
